ts,x1,y1,z1,x2,y2,z2,u1,v1,w1,u2,v2,w2
0,0.00499978,0.02,0,0.995,-4.49121e-09,0,49.9978,4.49121e-05,0,-49.9978,-4.49121e-05,0
1,0.00999932,0.02,0,0.990001,-1.3611e-08,0,49.9955,9.11983e-05,0,-49.9955,-9.11983e-05,0
2,0.0149986,0.02,0,0.985001,-2.75026e-08,0,49.9931,0.000138915,0,-49.9931,-0.000138915,0
3,0.0199977,0.02,0,0.980002,-4.63148e-08,0,49.9907,0.000188123,0,-49.9907,-0.000188123,0
4,0.0249965,0.0200001,0,0.975003,-7.02031e-08,0,49.9883,0.000238883,0,-49.9883,-0.000238883,0
5,0.0299951,0.0200001,0,0.970005,-9.93293e-08,0,49.9858,0.000291262,0,-49.9858,-0.000291262,0
6,0.0349934,0.0200001,0,0.965007,-1.33862e-07,0,49.9833,0.000345329,0,-49.9833,-0.000345329,0
7,0.0399915,0.0200002,0,0.960008,-1.73978e-07,0,49.9807,0.000401158,0,-49.9807,-0.000401158,0
8,0.0449893,0.0200002,0,0.955011,-2.19861e-07,0,49.978,0.000458826,0,-49.978,-0.000458826,0
9,0.0499868,0.0200003,0,0.950013,-2.71702e-07,0,49.9753,0.000518415,0,-49.9753,-0.000518415,0
10,0.0549841,0.0200003,0,0.945016,-3.29703e-07,0,49.9725,0.000580011,0,-49.9725,-0.000580011,0
11,0.0599811,0.0200004,0,0.940019,-3.94074e-07,0,49.9697,0.000643704,0,-49.9697,-0.000643704,0
12,0.0649778,0.0200005,0,0.935022,-4.65033e-07,0,49.9668,0.000709591,0,-49.9668,-0.000709591,0
13,0.0699741,0.0200005,0,0.930026,-5.4281e-07,0,49.9638,0.000777774,0,-49.9638,-0.000777774,0
14,0.0749702,0.0200006,0,0.92503,-6.27646e-07,0,49.9608,0.00084836,0,-49.9608,-0.00084836,0
15,0.079966,0.0200007,0,0.920034,-7.19792e-07,0,49.9577,0.000921464,0,-49.9577,-0.000921464,0
16,0.0849614,0.0200008,0,0.915039,-8.19513e-07,0,49.9545,0.000997207,0,-49.9545,-0.000997207,0
17,0.0899566,0.0200009,0,0.910043,-9.27085e-07,0,49.9513,0.00107572,0,-49.9513,-0.00107572,0
18,0.0949514,0.020001,0,0.905049,-1.0428e-06,0,49.9479,0.00115713,0,-49.9479,-0.00115713,0
19,0.0999458,0.0200012,0,0.900054,-1.16696e-06,0,49.9445,0.00124159,0,-49.9445,-0.00124159,0
20,0.10494,0.0200013,0,0.89506,-1.29988e-06,0,49.941,0.00132926,0,-49.941,-0.00132926,0
21,0.109934,0.0200014,0,0.890066,-1.44191e-06,0,49.9374,0.00142029,0,-49.9374,-0.00142029,0
22,0.114927,0.0200016,0,0.885073,-1.5934e-06,0,49.9337,0.00151486,0,-49.9337,-0.00151486,0
23,0.11992,0.0200018,0,0.88008,-1.75471e-06,0,49.9299,0.00161315,0,-49.9299,-0.00161315,0
24,0.124913,0.0200019,0,0.875087,-1.92625e-06,0,49.926,0.00171537,0,-49.926,-0.00171537,0
25,0.129905,0.0200021,0,0.870095,-2.10842e-06,0,49.9221,0.00182173,0,-49.9221,-0.00182173,0
26,0.134897,0.0200023,0,0.865103,-2.30167e-06,0,49.918,0.00193244,0,-49.918,-0.00193244,0
27,0.139888,0.0200025,0,0.860112,-2.50644e-06,0,49.9137,0.00204776,0,-49.9137,-0.00204776,0
28,0.144879,0.0200027,0,0.855121,-2.72324e-06,0,49.9094,0.00216794,0,-49.9094,-0.00216794,0
29,0.149869,0.020003,0,0.850131,-2.95256e-06,0,49.905,0.00229325,0,-49.905,-0.00229325,0
30,0.154859,0.0200032,0,0.845141,-3.19496e-06,0,49.9004,0.002424,0,-49.9004,-0.002424,0
31,0.159849,0.0200035,0,0.840151,-3.45101e-06,0,49.8957,0.00256051,0,-49.8957,-0.00256051,0
32,0.164838,0.0200037,0,0.835162,-3.72132e-06,0,49.8908,0.0027031,0,-49.8908,-0.0027031,0
33,0.169827,0.020004,0,0.830173,-4.00654e-06,0,49.8858,0.00285216,0,-49.8858,-0.00285216,0
34,0.174815,0.0200043,0,0.825185,-4.30735e-06,0,49.8807,0.00300807,0,-49.8807,-0.00300807,0
35,0.179802,0.0200046,0,0.820198,-4.62447e-06,0,49.8754,0.00317127,0,-49.8754,-0.00317127,0
36,0.184789,0.020005,0,0.815211,-4.95869e-06,0,49.8699,0.00334221,0,-49.8699,-0.00334221,0
37,0.189776,0.0200053,0,0.810224,-5.31083e-06,0,49.8643,0.00352139,0,-49.8643,-0.00352139,0
38,0.194762,0.0200057,0,0.805238,-5.68177e-06,0,49.8584,0.00370935,0,-49.8584,-0.00370935,0
39,0.199747,0.0200061,0,0.800253,-6.07243e-06,0,49.8524,0.00390666,0,-49.8524,-0.00390666,0
40,0.204731,0.0200065,0,0.795269,-6.48383e-06,0,49.8462,0.00411397,0,-49.8462,-0.00411397,0
41,0.209715,0.0200069,0,0.790285,-6.91702e-06,0,49.8398,0.00433195,0,-49.8398,-0.00433195,0
42,0.214699,0.0200074,0,0.785301,-7.37316e-06,0,49.8331,0.00456134,0,-49.8331,-0.00456134,0
43,0.219681,0.0200079,0,0.780319,-7.85346e-06,0,49.8262,0.00480297,0,-49.8262,-0.00480297,0
44,0.224663,0.0200084,0,0.775337,-8.35923e-06,0,49.8191,0.0050577,0,-49.8191,-0.0050577,0
45,0.229644,0.0200089,0,0.770356,-8.89188e-06,0,49.8117,0.00532651,0,-49.8117,-0.00532651,0
46,0.234625,0.0200095,0,0.765375,-9.45292e-06,0,49.804,0.00561045,0,-49.804,-0.00561045,0
47,0.239604,0.02001,0,0.760396,-1.0044e-05,0,49.7961,0.00591067,0,-49.7961,-0.00591067,0
48,0.244583,0.0200107,0,0.755417,-1.06668e-05,0,49.7878,0.00622843,0,-49.7878,-0.00622843,0
49,0.249561,0.0200113,0,0.750439,-1.13233e-05,0,49.7792,0.00656514,0,-49.7792,-0.00656514,0
50,0.254538,0.020012,0,0.745462,-1.20156e-05,0,49.7703,0.00692231,0,-49.7703,-0.00692231,0
51,0.259514,0.0200127,0,0.740486,-1.27457e-05,0,49.761,0.00730165,0,-49.761,-0.00730165,0
52,0.264489,0.0200135,0,0.735511,-1.35162e-05,0,49.7513,0.007705,0,-49.7513,-0.007705,0
53,0.269464,0.0200143,0,0.730536,-1.43297e-05,0,49.7412,0.00813445,0,-49.7412,-0.00813445,0
54,0.274437,0.0200152,0,0.725563,-1.51889e-05,0,49.7307,0.00859229,0,-49.7307,-0.00859229,0
55,0.279409,0.0200161,0,0.720591,-1.6097e-05,0,49.7196,0.00908106,0,-49.7196,-0.00908106,0
56,0.284379,0.0200171,0,0.715621,-1.70574e-05,0,49.7081,0.0096036,0,-49.7081,-0.0096036,0
