ts,x1,y1,z1,x2,y2,z2,u1,v1,w1,u2,v2,w2
0,0.01,0.199438,0,0,5.61738e-06,0.0005,20,-1.12348,0,0,0.0112348,1
1,0.0199718,0.198314,1.41103e-06,2.82205e-07,1.68628e-05,0.000999986,19.9436,-2.24909,0.00282205,0.00056441,0.0224909,0.999972
2,0.0298869,0.196626,5.65629e-06,1.13126e-06,3.37365e-05,0.00149994,19.8302,-3.37474,0.00849052,0.0016981,0.0337474,0.999915
3,0.0397166,0.194377,1.41713e-05,2.83427e-06,5.62277e-05,0.00199986,19.6594,-4.49823,0.0170301,0.00340602,0.0449823,0.99983
4,0.0494319,0.191569,2.84041e-05,5.68082e-06,8.43142e-05,0.00249972,19.4307,-5.61731,0.0284655,0.00569311,0.0561731,0.999715
5,0.0590037,0.188204,4.98148e-05,9.96297e-06,0.000117962,0.0029995,19.1436,-6.72965,0.0428215,0.0085643,0.0672965,0.999572
6,0.0684025,0.184287,7.98758e-05,1.59752e-05,0.000157127,0.0034992,18.7976,-7.83281,0.0601219,0.0120244,0.0783281,0.999399
7,0.0775986,0.179825,0.000120071,2.40142e-05,0.000201748,0.0039988,18.3922,-8.92424,0.08039,0.016078,0.0892424,0.999196
8,0.0865621,0.174825,0.000171894,3.43789e-05,0.000251754,0.00449828,17.9271,-10.0013,0.103647,0.0207295,0.100013,0.998964
9,0.095263,0.169294,0.000236851,4.73702e-05,0.00030706,0.00499763,17.4017,-11.0611,0.129913,0.0259826,0.110611,0.998701
10,0.103671,0.163244,0.000316453,6.32906e-05,0.000367564,0.00549684,16.8159,-12.1008,0.159204,0.0318409,0.121008,0.998408
11,0.111756,0.156685,0.00041222,8.2444e-05,0.00043315,0.00599588,16.1693,-13.1173,0.191534,0.0383067,0.131173,0.998085
12,0.119487,0.149631,0.000525675,0.000105135,0.000503687,0.00649474,15.4618,-14.1073,0.22691,0.0453819,0.141073,0.997731
13,0.126833,0.142098,0.000658342,0.000131668,0.000579023,0.00699342,14.6933,-15.0672,0.265335,0.053067,0.150672,0.997347
14,0.133765,0.134101,0.000811745,0.000162349,0.000658991,0.00749188,13.8639,-15.9936,0.306805,0.061361,0.159936,0.996932
15,0.140252,0.12566,0.000987399,0.00019748,0.000743404,0.00799013,12.9738,-16.8826,0.351308,0.0702616,0.168826,0.996487
16,0.146264,0.116794,0.00118681,0.000237362,0.000832055,0.00848813,12.0236,-17.7302,0.398821,0.0797642,0.177302,0.996012
17,0.151771,0.107528,0.00141146,0.000282293,0.000924716,0.00898589,11.0138,-18.5321,0.44931,0.0898621,0.185321,0.995507
18,0.156743,0.0978865,0.00166283,0.000332566,0.00102114,0.00948337,9.94541,-19.2839,0.502729,0.100546,0.192839,0.994973
19,0.161153,0.087896,0.00194234,0.000388467,0.00112104,0.00998058,8.8197,-19.9811,0.559015,0.111803,0.199811,0.99441
20,0.164972,0.0775866,0.00225138,0.000450276,0.00122413,0.0104775,7.63824,-20.6188,0.618088,0.123618,0.206188,0.993819
21,0.168174,0.0669905,0.0025913,0.000518261,0.00133009,0.0109741,6.40303,-21.1921,0.679849,0.13597,0.211921,0.993202
22,0.170732,0.0561426,0.00296339,0.000592678,0.00143857,0.0114704,5.11651,-21.6959,0.744175,0.148835,0.216959,0.992558
23,0.172623,0.04508,0.00336885,0.00067377,0.0015492,0.0119663,3.78159,-22.1251,0.81092,0.162184,0.221251,0.991891
24,0.173824,0.0338428,0.00380881,0.000761762,0.00166157,0.0124619,2.40176,-22.4745,0.879912,0.175982,0.224745,0.991201
25,0.174314,0.0224734,0.00428428,0.000856856,0.00177527,0.0129572,0.981059,-22.7386,0.950947,0.190189,0.227386,0.990491
26,0.174076,0.0110172,0.00479618,0.000959235,0.00188983,0.013452,-0.475819,-22.9125,1.02379,0.204758,0.229125,0.989762
27,0.173095,-0.00047826,0.00534527,0.00106905,0.00200478,0.0139465,-1.96351,-22.9909,1.09818,0.219635,0.229909,0.989018
28,0.171357,-0.0119628,0.00593216,0.00118643,0.00211963,0.0144407,-3.47594,-22.9691,1.1738,0.234759,0.229691,0.988262
29,0.168854,-0.023384,0.00655732,0.00131146,0.00223384,0.0149344,-5.0063,-22.8425,1.25032,0.250063,0.228425,0.987497
30,0.16558,-0.0346875,0.007221,0.0014442,0.00234687,0.0154278,-6.54705,-22.6069,1.32735,0.26547,0.226069,0.986726
31,0.161535,-0.0458168,0.00792324,0.00158465,0.00245817,0.0159208,-8.08989,-22.2587,1.40449,0.280899,0.222587,0.985955
32,0.156722,-0.0567144,0.00866389,0.00173278,0.00256714,0.0164134,-9.62581,-21.7952,1.48129,0.296258,0.217952,0.985187
33,0.15115,-0.0673215,0.00944252,0.0018885,0.00267321,0.0169056,-11.1452,-21.2141,1.55726,0.311452,0.212141,0.984427
34,0.144831,-0.0775786,0.0102585,0.00205169,0.00277579,0.0173974,-12.6376,-20.5142,1.63188,0.326376,0.205142,0.983681
35,0.137785,-0.0874263,0.0111108,0.00222215,0.00287426,0.0178889,-14.0925,-19.6954,1.70462,0.340925,0.196954,0.982954
36,0.130035,-0.0968057,0.0119982,0.00239965,0.00296806,0.01838,-15.4985,-18.7588,1.77492,0.354985,0.187588,0.982251
37,0.121613,-0.105659,0.0129193,0.00258387,0.00305659,0.0188708,-16.8444,-17.7068,1.84222,0.368444,0.177068,0.981578
38,0.112554,-0.113931,0.0138723,0.00277446,0.00313931,0.0193613,-18.1186,-16.5429,1.90593,0.381186,0.165429,0.980941
39,0.102899,-0.121567,0.0148551,0.00297101,0.00321567,0.0198514,-19.31,-15.2724,1.9655,0.3931,0.152724,0.980345
40,0.0926951,-0.128518,0.0158652,0.00317305,0.00328518,0.0203413,-20.4075,-13.9019,2.02038,0.404075,0.139019,0.979796
41,0.0819946,-0.134737,0.0169003,0.00338005,0.00334737,0.020831,-21.401,-12.4392,2.07005,0.41401,0.124392,0.9793
42,0.0708542,-0.140184,0.0179573,0.00359146,0.00340184,0.0213204,-22.2808,-10.8939,2.11404,0.422808,0.108939,0.97886
43,0.0593349,-0.144822,0.0190333,0.00380665,0.00344822,0.0218097,-23.0385,-9.27628,2.15193,0.430385,0.0927628,0.978481
44,0.0475014,-0.148621,0.0201249,0.00402499,0.00348621,0.0222988,-23.667,-7.59821,2.18335,0.43667,0.0759821,0.978167
45,0.0354213,-0.151558,0.0212289,0.00424579,0.00351558,0.0227877,-24.1603,-5.87221,2.20802,0.441603,0.0587221,0.97792
46,0.0231641,-0.153613,0.0223418,0.00446836,0.00353613,0.0232766,-24.5143,-4.11155,2.22571,0.445143,0.0411155,0.977743
47,0.010801,-0.154778,0.02346,0.00469199,0.00354778,0.0237654,-24.7263,-2.32991,2.23631,0.447263,0.0232991,0.977637
48,-0.00159664,-0.155049,0.0245798,0.00491597,0.00355049,0.0242542,-24.7953,-0.541173,2.23976,0.447953,0.00541173,0.977602
49,-0.0139577,-0.154428,0.0256979,0.00513958,0.00354428,0.024743,-24.7221,1.24088,2.2361,0.447221,-0.0124088,0.977639
50,-0.0262122,-0.152927,0.0268106,0.00536212,0.00352927,0.0252319,-24.5091,3.00279,2.22545,0.445091,-0.0300279,0.977745
51,-0.0382923,-0.150561,0.0279146,0.00558292,0.00350561,0.0257209,-24.1602,4.73168,2.20801,0.441602,-0.0473168,0.97792
52,-0.0501327,-0.147353,0.0290066,0.00580133,0.00347353,0.0262099,-23.6807,6.41546,2.18403,0.436807,-0.0641546,0.97816
