ts,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
0,3.78896e-12,-3.65119e-11,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.9026e-12,0.666,-0.333,0.204998,-0.000744363,-3.3929e-06
1,1.14449e-11,-1.0955e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.47923e-11,0.666,-0.333,0.209994,-0.00148326,-1.02872e-05
2,2.30445e-11,-2.19127e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.97518e-11,0.666,-0.333,0.214988,-0.00221687,-2.07957e-05
3,3.86635e-11,-3.65258e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.98617e-11,0.666,-0.333,0.21998,-0.00294536,-3.5035e-05
4,5.83761e-11,-5.47955e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,7.52009e-11,0.666,-0.333,0.224971,-0.00366893,-5.31262e-05
5,8.22556e-11,-7.67233e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.05846e-10,0.666,-0.333,0.229959,-0.00438774,-7.51943e-05
6,1.10374e-10,-1.0231e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.41873e-10,0.666,-0.333,0.234946,-0.005102,-0.000101369
7,1.42801e-10,-1.31558e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.83353e-10,0.666,-0.333,0.239931,-0.0058119,-0.000131783
8,1.79607e-10,-1.64467e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.3036e-10,0.666,-0.333,0.244914,-0.00651762,-0.000166576
9,2.2086e-10,-2.0104e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.82961e-10,0.666,-0.333,0.249895,-0.00721937,-0.000205888
10,2.66626e-10,-2.41276e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.41225e-10,0.666,-0.333,0.254875,-0.00791736,-0.000249867
11,3.16971e-10,-2.85178e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.05218e-10,0.666,-0.333,0.259854,-0.00861178,-0.000298665
12,3.71959e-10,-3.32747e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.75002e-10,0.666,-0.333,0.26483,-0.00930285,-0.000352435
13,4.31653e-10,-3.83983e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,5.50642e-10,0.666,-0.333,0.269806,-0.00999078,-0.000411338
14,4.96114e-10,-4.38888e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,6.32197e-10,0.666,-0.333,0.274779,-0.0106758,-0.000475539
15,5.65403e-10,-4.97463e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,7.19725e-10,0.666,-0.333,0.279752,-0.0113581,-0.000545206
16,6.39578e-10,-5.59709e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,8.13285e-10,0.666,-0.333,0.284723,-0.0120379,-0.000620514
17,7.18697e-10,-6.25627e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,9.1293e-10,0.666,-0.333,0.289693,-0.0127155,-0.00070164
18,8.02816e-10,-6.95219e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.01871e-09,0.666,-0.333,0.294662,-0.013391,-0.000788767
19,8.91989e-10,-7.68484e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.13069e-09,0.666,-0.333,0.29963,-0.0140648,-0.000882083
20,9.86271e-10,-8.45425e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.24891e-09,0.666,-0.333,0.304597,-0.014737,-0.00098178
21,1.08571e-09,-9.26042e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.37342e-09,0.666,-0.333,0.309563,-0.0154079,-0.00108806
22,1.19037e-09,-1.01034e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.50426e-09,0.666,-0.333,0.314528,-0.0160778,-0.00120111
23,1.30028e-09,-1.09831e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.64149e-09,0.666,-0.333,0.319493,-0.0167468,-0.00132116
24,1.4155e-09,-1.18996e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.78515e-09,0.666,-0.333,0.324457,-0.0174153,-0.0014484
25,1.53608e-09,-1.28529e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.93527e-09,0.666,-0.333,0.32942,-0.0180835,-0.00158307
26,1.66206e-09,-1.3843e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.0919e-09,0.666,-0.333,0.334383,-0.0187516,-0.00172537
27,1.79348e-09,-1.48699e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.25508e-09,0.666,-0.333,0.339346,-0.01942,-0.00187554
28,1.93039e-09,-1.59337e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.42485e-09,0.666,-0.333,0.344308,-0.0200888,-0.00203382
29,2.07283e-09,-1.70343e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.60123e-09,0.666,-0.333,0.349271,-0.0207585,-0.00220043
30,2.22084e-09,-1.81717e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.78428e-09,0.666,-0.333,0.354233,-0.0214291,-0.00237562
31,2.37445e-09,-1.9346e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.97401e-09,0.666,-0.333,0.359196,-0.0221011,-0.00255965
32,2.53371e-09,-2.05572e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.17047e-09,0.666,-0.333,0.364159,-0.0227747,-0.00275277
33,2.69865e-09,-2.18052e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.37367e-09,0.666,-0.333,0.369122,-0.0234503,-0.00295523
34,2.8693e-09,-2.30901e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.58366e-09,0.666,-0.333,0.374086,-0.024128,-0.00316731
35,3.04571e-09,-2.44119e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.80046e-09,0.666,-0.333,0.37905,-0.0248082,-0.00338927
36,3.22789e-09,-2.57705e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.02408e-09,0.666,-0.333,0.384015,-0.0254912,-0.0036214
37,3.41588e-09,-2.71661e-08,0.816001,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.25457e-09,0.666,-0.333,0.388981,-0.0261773,-0.00386399
38,3.60972e-09,-2.85985e-08,0.816001,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.49194e-09,0.666001,-0.333,0.393948,-0.0268668,-0.00411731
39,3.80942e-09,-3.00679e-08,0.816001,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.73622e-09,0.666001,-0.333,0.398917,-0.0275601,-0.00438167
40,4.01502e-09,-3.15742e-08,0.816001,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.98742e-09,0.666001,-0.333,0.403886,-0.0282574,-0.00465737
41,4.22655e-09,-3.31174e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,5.24557e-09,0.666001,-0.333,0.408857,-0.0289591,-0.00494472
42,4.44401e-09,-3.46976e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,5.51068e-09,0.666001,-0.333,0.413829,-0.0296655,-0.00524405
