ts,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
0,3.78896e-12,-3.65119e-11,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.9026e-12,0.666,-0.333,0.204998,-0.000744363,0.000496607
1,1.14515e-11,-1.0955e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.47882e-11,0.666,-0.333,0.209994,-0.00148327,0.000989716
2,2.30715e-11,-2.19127e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.9735e-11,0.666,-0.333,0.214988,-0.00221689,0.00147922
3,3.87316e-11,-3.65258e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.98196e-11,0.666,-0.333,0.21998,-0.00294542,0.001965
4,5.85136e-11,-5.47957e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,7.51161e-11,0.666,-0.333,0.224971,-0.00366903,0.00244694
5,8.24981e-11,-7.67235e-10,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.05697e-10,0.666,-0.333,0.229959,-0.00438792,0.00292492
6,1.10765e-10,-1.02311e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.41633e-10,0.666,-0.333,0.234945,-0.00510227,0.00339881
7,1.43393e-10,-1.31559e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.82992e-10,0.666,-0.333,0.23993,-0.00581229,0.00386849
8,1.80459e-10,-1.64468e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.29841e-10,0.666,-0.333,0.244912,-0.00651816,0.00433381
9,2.2204e-10,-2.01041e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.82245e-10,0.666,-0.333,0.249893,-0.00722008,0.00479463
10,2.68211e-10,-2.41279e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.40266e-10,0.666,-0.333,0.254872,-0.00791826,0.00525081
11,3.19046e-10,-2.85182e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.03965e-10,0.666,-0.333,0.25985,-0.0086129,0.0057022
12,3.74618e-10,-3.32752e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.73402e-10,0.666,-0.333,0.264825,-0.00930421,0.00614865
13,4.34999e-10,-3.8399e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,5.48634e-10,0.666,-0.333,0.269799,-0.00999239,0.00659
14,5.0026e-10,-4.38898e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,6.29716e-10,0.666,-0.333,0.274771,-0.0106777,0.00702608
15,5.7047e-10,-4.97475e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,7.16703e-10,0.666,-0.333,0.279742,-0.0113602,0.00745673
16,6.45696e-10,-5.59725e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,8.09645e-10,0.666,-0.333,0.284711,-0.0120403,0.00788177
17,7.26007e-10,-6.25647e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,9.08594e-10,0.666,-0.333,0.289679,-0.0127182,0.00830103
18,8.11466e-10,-6.95242e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.0136e-09,0.666,-0.333,0.294645,-0.013394,0.00871432
19,9.0214e-10,-7.68513e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.1247e-09,0.666,-0.333,0.299609,-0.014068,0.00912146
20,9.98091e-10,-8.4546e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.24196e-09,0.666,-0.333,0.304573,-0.0147404,0.00952226
21,1.09938e-09,-9.26084e-09,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.3654e-09,0.666,-0.333,0.309535,-0.0154114,0.00991651
22,1.20607e-09,-1.01039e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.49508e-09,0.666,-0.333,0.314496,-0.0160814,0.010304
23,1.31821e-09,-1.09837e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.63103e-09,0.666,-0.333,0.319455,-0.0167504,0.0106846
24,1.43588e-09,-1.19003e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.77329e-09,0.666,-0.333,0.324414,-0.0174189,0.011058
25,1.55911e-09,-1.28537e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,1.92191e-09,0.666,-0.333,0.329371,-0.0180869,0.011424
26,1.68798e-09,-1.38439e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.0769e-09,0.666,-0.333,0.334328,-0.0187547,0.0117824
27,1.82252e-09,-1.4871e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.23832e-09,0.666,-0.333,0.339284,-0.0194227,0.012133
28,1.9628e-09,-1.59349e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.40619e-09,0.666,-0.333,0.344238,-0.0200909,0.0124756
29,2.10886e-09,-1.70357e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.58055e-09,0.666,-0.333,0.349192,-0.0207598,0.0128098
30,2.26076e-09,-1.81733e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.76141e-09,0.666,-0.333,0.354146,-0.0214295,0.0131355
31,2.41854e-09,-1.93478e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,2.94882e-09,0.666,-0.333,0.359098,-0.0221003,0.0134524
32,2.58225e-09,-2.05592e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.14281e-09,0.666,-0.333,0.364051,-0.0227725,0.0137603
33,2.75194e-09,-2.18074e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.34338e-09,0.666,-0.333,0.369002,-0.0234463,0.0140589
34,2.92765e-09,-2.30925e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.55058e-09,0.666,-0.333,0.373954,-0.024122,0.0143479
35,3.10942e-09,-2.44146e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.76442e-09,0.666,-0.333,0.378905,-0.0247999,0.0146271
36,3.29729e-09,-2.57736e-08,0.816,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,3.98492e-09,0.666,-0.333,0.383855,-0.0254802,0.0148962
37,3.49131e-09,-2.71694e-08,0.816001,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.21212e-09,0.666,-0.333,0.388806,-0.0261632,0.0151549
38,3.69152e-09,-2.86022e-08,0.816001,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.44601e-09,0.666001,-0.333,0.393757,-0.0268491,0.0154029
39,3.89794e-09,-3.0072e-08,0.816001,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.68663e-09,0.666001,-0.333,0.398707,-0.0275384,0.01564
40,4.11062e-09,-3.15787e-08,0.816001,0.816,-0.333,-0.333,-0.816,-0.333,-0.333,4.93399e-09,0.666001,-0.333,0.403658,-0.0282312,0.0158658
41,4.32959e-09,-3.31223e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,5.18811e-09,0.666001,-0.333,0.408609,-0.0289278,0.01608
42,4.55488e-09,-3.47029e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,5.449e-09,0.666001,-0.333,0.41356,-0.0296286,0.0162824
43,4.78654e-09,-3.63205e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,5.71667e-09,0.666001,-0.333,0.418512,-0.0303337,0.0164726
44,5.02457e-09,-3.7975e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,5.99114e-09,0.666001,-0.333,0.423464,-0.0310436,0.0166502
45,5.26903e-09,-3.96665e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,6.27242e-09,0.666001,-0.333,0.428417,-0.0317585,0.016815
46,5.51993e-09,-4.1395e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,6.56052e-09,0.666001,-0.333,0.43337,-0.0324788,0.0169667
47,5.77729e-09,-4.31605e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,6.85545e-09,0.666001,-0.333,0.438324,-0.0332046,0.0171048
48,6.04116e-09,-4.49631e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,7.15721e-09,0.666001,-0.333,0.443279,-0.0339364,0.0172291
49,6.31154e-09,-4.68026e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,7.46581e-09,0.666001,-0.333,0.448234,-0.0346744,0.0173392
50,6.58846e-09,-4.86791e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,7.78127e-09,0.666001,-0.333,0.453191,-0.035419,0.0174347
51,6.87195e-09,-5.05927e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,8.10357e-09,0.666001,-0.333,0.458149,-0.0361705,0.0175152
52,7.16202e-09,-5.25433e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,8.43274e-09,0.666001,-0.333,0.463108,-0.0369292,0.0175805
53,7.45869e-09,-5.45309e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,8.76877e-09,0.666001,-0.333,0.468068,-0.0376954,0.01763
54,7.76197e-09,-5.65556e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333,-0.333,9.11167e-09,0.666001,-0.333,0.47303,-0.0384694,0.0176635
55,8.07189e-09,-5.86173e-08,0.816001,0.816001,-0.333,-0.333,-0.816001,-0.333001,-0.333,9.46143e-09,0.666001,-0.333,0.477993,-0.0392517,0.0176805
56,8.38846e-09,-6.07161e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,9.81805e-09,0.666001,-0.333,0.482957,-0.0400425,0.0176807
57,8.71169e-09,-6.2852e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.01815e-08,0.666001,-0.333,0.487923,-0.0408421,0.0176635
58,9.04159e-09,-6.50249e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.05519e-08,0.666001,-0.333,0.492891,-0.041651,0.0176287
59,9.37818e-09,-6.72349e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.09291e-08,0.666001,-0.333,0.49786,-0.0424695,0.0175758
60,9.72146e-09,-6.9482e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.13132e-08,0.666001,-0.333001,0.502831,-0.0432979,0.0175043
61,1.00714e-08,-7.17661e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.17042e-08,0.666001,-0.333001,0.507805,-0.0441366,0.0174138
62,1.04281e-08,-7.40874e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.21019e-08,0.666001,-0.333001,0.51278,-0.0449859,0.0173039
63,1.07915e-08,-7.64458e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.25066e-08,0.666001,-0.333001,0.517757,-0.0458462,0.0171741
64,1.11617e-08,-7.88412e-08,0.816001,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.29181e-08,0.666001,-0.333001,0.522736,-0.0467179,0.017024
65,1.15385e-08,-8.12738e-08,0.816002,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.33364e-08,0.666001,-0.333001,0.527717,-0.0476014,0.0168531
66,1.19221e-08,-8.37435e-08,0.816002,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.37615e-08,0.666002,-0.333001,0.532701,-0.0484971,0.0166609
67,1.23124e-08,-8.62504e-08,0.816002,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333,1.41935e-08,0.666002,-0.333001,0.537687,-0.0494052,0.0164469
68,1.27094e-08,-8.87943e-08,0.816002,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333001,1.46323e-08,0.666002,-0.333001,0.542675,-0.0503263,0.0162106
69,1.31132e-08,-9.13754e-08,0.816002,0.816001,-0.333001,-0.333,-0.816001,-0.333001,-0.333001,1.50779e-08,0.666002,-0.333001,0.547666,-0.0512607,0.0159515
70,1.35237e-08,-9.39936e-08,0.816002,0.816001,-0.333001,-0.333001,-0.816001,-0.333001,-0.333001,1.55302e-08,0.666002,-0.333001,0.552659,-0.0522088,0.0156692
71,1.39409e-08,-9.6649e-08,0.816002,0.816001,-0.333001,-0.333001,-0.816001,-0.333001,-0.333001,1.59894e-08,0.666002,-0.333001,0.557654,-0.0531711,0.015363
72,1.43648e-08,-9.93416e-08,0.816002,0.816002,-0.333001,-0.333001,-0.816002,-0.333001,-0.333001,1.64553e-08,0.666002,-0.333001,0.562652,-0.0541478,0.0150325
73,1.47954e-08,-1.02071e-07,0.816002,0.816002,-0.333001,-0.333001,-0.816002,-0.333001,-0.333001,1.6928e-08,0.666002,-0.333001,0.567652,-0.0551396,0.0146771
74,1.52327e-08,-1.04838e-07,0.816002,0.816002,-0.333001,-0.333001,-0.816002,-0.333001,-0.333001,1.74075e-08,0.666002,-0.333001,0.572655,-0.0561467,0.0142962
75,1.56767e-08,-1.07642e-07,0.816002,0.816002,-0.333001,-0.333001,-0.816002,-0.333001,-0.333001,1.78936e-08,0.666002,-0.333001,0.577661,-0.0571696,0.0138894
