ts,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
0,1.12348e-09,0,0,1.12348e-09,0,0,1.12348e-09,0,0,1.12348e-09,0,0,0.205506,-0.0015,0
1,3.31095e-09,-7.76615e-12,0,3.31095e-09,-7.76615e-12,0,3.31095e-09,-7.76615e-12,0,3.31095e-09,-7.76615e-12,0,0.206756,-0.00296894,0
2,6.54934e-09,-3.06232e-11,0,6.54934e-09,-3.06232e-11,0,6.54934e-09,-3.06232e-11,0,6.54934e-09,-3.06232e-11,0,0.203803,-0.00437751,0
3,1.08689e-08,-7.67033e-11,0,1.08689e-08,-7.67033e-11,0,1.08689e-08,-7.67033e-11,0,1.08689e-08,-7.67033e-11,0,0.196524,-0.00569319,0
4,1.63506e-08,-1.56449e-10,0,1.63506e-08,-1.56449e-10,0,1.63506e-08,-1.56449e-10,0,1.63506e-08,-1.56449e-10,0,0.184597,-0.0068742,0
5,2.31484e-08,-2.85202e-10,0,2.31484e-08,-2.85202e-10,0,2.31484e-08,-2.85202e-10,0,2.31484e-08,-2.85202e-10,0,0.167407,-0.00785919,0
6,3.15443e-08,-4.88988e-10,0,3.15443e-08,-4.88988e-10,0,3.15443e-08,-4.88988e-10,0,3.15443e-08,-4.88988e-10,0,0.143823,-0.00854405,0
7,4.21014e-08,-8.21159e-10,0,4.21014e-08,-8.21159e-10,0,4.21014e-08,-8.21159e-10,0,4.21014e-08,-8.21159e-10,0,0.111594,-0.00871537,0
8,5.62344e-08,-1.4326e-09,0,5.62344e-08,-1.4326e-09,0,5.62344e-08,-1.4326e-09,0,5.62344e-08,-1.4326e-09,0,0.0650626,-0.00776961,0
9,8.07602e-08,-3.28513e-09,0,8.07602e-08,-3.28513e-09,0,8.07602e-08,-3.28513e-09,0,8.07602e-08,-3.28513e-09,0,-0.0230408,-0.00185947,0
10,2.14566e-08,-1.19029e-08,0,2.14566e-08,-1.19029e-08,0,2.14566e-08,-1.19029e-08,0,2.14566e-08,-1.19029e-08,0,0.224174,0.0311118,0
11,-3.6978e-08,-2.04001e-08,0,-3.6978e-08,-2.04001e-08,0,-3.6978e-08,-2.04001e-08,0,-3.6978e-08,-2.04001e-08,0,0.467912,0.0636006,0
12,-9.52128e-08,-2.88702e-08,0,-9.52128e-08,-2.88702e-08,0,-9.52128e-08,-2.88702e-08,0,-9.52128e-08,-2.88702e-08,0,0.710851,0.0959808,0
13,-1.53361e-07,-3.73286e-08,0,-1.53361e-07,-3.73286e-08,0,-1.53361e-07,-3.73286e-08,0,-1.53361e-07,-3.73286e-08,0,0.953445,0.128314,0
14,-2.11461e-07,-4.57805e-08,0,-2.11461e-07,-4.57805e-08,0,-2.11461e-07,-4.57805e-08,0,-2.11461e-07,-4.57805e-08,0,1.19585,0.160622,0
15,-2.69531e-07,-5.42282e-08,0,-2.69531e-07,-5.42282e-08,0,-2.69531e-07,-5.42282e-08,0,-2.69531e-07,-5.42282e-08,0,1.43812,0.192913,0
16,-3.27579e-07,-6.26732e-08,0,-3.27579e-07,-6.26732e-08,0,-3.27579e-07,-6.26732e-08,0,-3.27579e-07,-6.26732e-08,0,1.68032,0.225193,0
17,-3.85612e-07,-7.11161e-08,0,-3.85612e-07,-7.11161e-08,0,-3.85612e-07,-7.11161e-08,0,-3.85612e-07,-7.11161e-08,0,1.92245,0.257464,0
18,-4.43633e-07,-7.95573e-08,0,-4.43633e-07,-7.95573e-08,0,-4.43633e-07,-7.95573e-08,0,-4.43633e-07,-7.95573e-08,0,2.16453,0.289729,0
19,-5.01645e-07,-8.79974e-08,0,-5.01645e-07,-8.79974e-08,0,-5.01645e-07,-8.79974e-08,0,-5.01645e-07,-8.79974e-08,0,2.40658,0.32199,0
20,-5.59649e-07,-9.64364e-08,0,-5.59649e-07,-9.64364e-08,0,-5.59649e-07,-9.64364e-08,0,-5.59649e-07,-9.64364e-08,0,2.6486,0.354246,0
21,-6.17647e-07,-1.04875e-07,0,-6.17647e-07,-1.04875e-07,0,-6.17647e-07,-1.04875e-07,0,-6.17647e-07,-1.04875e-07,0,2.89059,0.386498,0
22,-6.7564e-07,-1.13312e-07,0,-6.7564e-07,-1.13312e-07,0,-6.7564e-07,-1.13312e-07,0,-6.7564e-07,-1.13312e-07,0,3.13256,0.418748,0
23,-7.33628e-07,-1.21749e-07,0,-7.33628e-07,-1.21749e-07,0,-7.33628e-07,-1.21749e-07,0,-7.33628e-07,-1.21749e-07,0,3.37451,0.450996,0
24,-7.91613e-07,-1.30185e-07,0,-7.91613e-07,-1.30185e-07,0,-7.91613e-07,-1.30185e-07,0,-7.91613e-07,-1.30185e-07,0,3.61645,0.483241,0
25,-8.49594e-07,-1.38621e-07,0,-8.49594e-07,-1.38621e-07,0,-8.49594e-07,-1.38621e-07,0,-8.49594e-07,-1.38621e-07,0,3.85838,0.515485,0
26,-9.07572e-07,-1.47057e-07,0,-9.07572e-07,-1.47057e-07,0,-9.07572e-07,-1.47057e-07,0,-9.07572e-07,-1.47057e-07,0,4.10029,0.547727,0
27,-9.65548e-07,-1.55492e-07,0,-9.65548e-07,-1.55492e-07,0,-9.65548e-07,-1.55492e-07,0,-9.65548e-07,-1.55492e-07,0,4.34219,0.579968,0
28,-1.02352e-06,-1.63927e-07,0,-1.02352e-06,-1.63927e-07,0,-1.02352e-06,-1.63927e-07,0,-1.02352e-06,-1.63927e-07,0,4.58408,0.612208,0
29,-1.08149e-06,-1.72361e-07,0,-1.08149e-06,-1.72361e-07,0,-1.08149e-06,-1.72361e-07,0,-1.08149e-06,-1.72361e-07,0,4.82597,0.644446,0
30,-1.13946e-06,-1.80796e-07,0,-1.13946e-06,-1.80796e-07,0,-1.13946e-06,-1.80796e-07,0,-1.13946e-06,-1.80796e-07,0,5.06785,0.676683,0
31,-1.19743e-06,-1.8923e-07,0,-1.19743e-06,-1.8923e-07,0,-1.19743e-06,-1.8923e-07,0,-1.19743e-06,-1.8923e-07,0,5.30972,0.70892,0
32,-1.25539e-06,-1.97664e-07,0,-1.25539e-06,-1.97664e-07,0,-1.25539e-06,-1.97664e-07,0,-1.25539e-06,-1.97664e-07,0,5.55158,0.741156,0
33,-1.31336e-06,-2.06098e-07,0,-1.31336e-06,-2.06098e-07,0,-1.31336e-06,-2.06098e-07,0,-1.31336e-06,-2.06098e-07,0,5.79344,0.77339,0
34,-1.37132e-06,-2.14531e-07,0,-1.37132e-06,-2.14531e-07,0,-1.37132e-06,-2.14531e-07,0,-1.37132e-06,-2.14531e-07,0,6.03529,0.805625,0
