i, char value, unsigned char, short, unsigned short
0,0,0,0,0
1,1,1,1,1
2,2,2,2,2
3,3,3,3,3
4,4,4,4,4
5,5,5,5,5
6,6,6,6,6
7,7,7,7,7
8,8,8,8,8
9,9,9,9,9
10,10,10,10,10
11,11,11,11,11
12,12,12,12,12
13,13,13,13,13
14,14,14,14,14
15,15,15,15,15
16,16,16,16,16
17,17,17,17,17
18,18,18,18,18
19,19,19,19,19
20,20,20,20,20
21,21,21,21,21
22,22,22,22,22
23,23,23,23,23
24,24,24,24,24
25,25,25,25,25
26,26,26,26,26
27,27,27,27,27
28,28,28,28,28
29,29,29,29,29
30,30,30,30,30
31,31,31,31,31
32,32,32,32,32
33,33,33,33,33
34,34,34,34,34
35,35,35,35,35
36,36,36,36,36
37,37,37,37,37
38,38,38,38,38
39,39,39,39,39
40,40,40,40,40
41,41,41,41,41
42,42,42,42,42
43,43,43,43,43
44,44,44,44,44
45,45,45,45,45
46,46,46,46,46
47,47,47,47,47
48,48,48,48,48
49,49,49,49,49
50,50,50,50,50
51,51,51,51,51
52,52,52,52,52
53,53,53,53,53
54,54,54,54,54
55,55,55,55,55
56,56,56,56,56
57,57,57,57,57
58,58,58,58,58
59,59,59,59,59
60,60,60,60,60
61,61,61,61,61
62,62,62,62,62
63,63,63,63,63
64,64,64,64,64
65,65,65,65,65
66,66,66,66,66
67,67,67,67,67
68,68,68,68,68
69,69,69,69,69
70,70,70,70,70
71,71,71,71,71
72,72,72,72,72
73,73,73,73,73
74,74,74,74,74
75,75,75,75,75
76,76,76,76,76
77,77,77,77,77
78,78,78,78,78
79,79,79,79,79
80,80,80,80,80
81,81,81,81,81
82,82,82,82,82
83,83,83,83,83
84,84,84,84,84
85,85,85,85,85
86,86,86,86,86
87,87,87,87,87
88,88,88,88,88
89,89,89,89,89
90,90,90,90,90
91,91,91,91,91
92,92,92,92,92
93,93,93,93,93
94,94,94,94,94
95,95,95,95,95
96,96,96,96,96
97,97,97,97,97
98,98,98,98,98
99,99,99,99,99
100,100,100,100,100
101,101,101,101,101
102,102,102,102,102
103,103,103,103,103
104,104,104,104,104
105,105,105,105,105
106,106,106,106,106
107,107,107,107,107
108,108,108,108,108
109,109,109,109,109
110,110,110,110,110
111,111,111,111,111
112,112,112,112,112
113,113,113,113,113
114,114,114,114,114
115,115,115,115,115
116,116,116,116,116
117,117,117,117,117
118,118,118,118,118
119,119,119,119,119
120,120,120,120,120
121,121,121,121,121
122,122,122,122,122
123,123,123,123,123
124,124,124,124,124
125,125,125,125,125
126,126,126,126,126
127,127,127,127,127
128,-128,128,128,128
129,-127,129,129,129
130,-126,130,130,130
131,-125,131,131,131
132,-124,132,132,132
133,-123,133,133,133
134,-122,134,134,134
135,-121,135,135,135
136,-120,136,136,136
137,-119,137,137,137
138,-118,138,138,138
139,-117,139,139,139
140,-116,140,140,140
141,-115,141,141,141
142,-114,142,142,142
143,-113,143,143,143
144,-112,144,144,144
145,-111,145,145,145
146,-110,146,146,146
147,-109,147,147,147
148,-108,148,148,148
149,-107,149,149,149
150,-106,150,150,150
151,-105,151,151,151
152,-104,152,152,152
153,-103,153,153,153
154,-102,154,154,154
155,-101,155,155,155
156,-100,156,156,156
157,-99,157,157,157
158,-98,158,158,158
159,-97,159,159,159
160,-96,160,160,160
161,-95,161,161,161
162,-94,162,162,162
163,-93,163,163,163
164,-92,164,164,164
165,-91,165,165,165
166,-90,166,166,166
167,-89,167,167,167
168,-88,168,168,168
169,-87,169,169,169
170,-86,170,170,170
171,-85,171,171,171
172,-84,172,172,172
173,-83,173,173,173
174,-82,174,174,174
175,-81,175,175,175
176,-80,176,176,176
177,-79,177,177,177
178,-78,178,178,178
179,-77,179,179,179
180,-76,180,180,180
181,-75,181,181,181
182,-74,182,182,182
183,-73,183,183,183
184,-72,184,184,184
185,-71,185,185,185
186,-70,186,186,186
187,-69,187,187,187
188,-68,188,188,188
189,-67,189,189,189
190,-66,190,190,190
191,-65,191,191,191
192,-64,192,192,192
193,-63,193,193,193
194,-62,194,194,194
195,-61,195,195,195
196,-60,196,196,196
197,-59,197,197,197
198,-58,198,198,198
199,-57,199,199,199
200,-56,200,200,200
201,-55,201,201,201
202,-54,202,202,202
203,-53,203,203,203
204,-52,204,204,204
205,-51,205,205,205
206,-50,206,206,206
207,-49,207,207,207
208,-48,208,208,208
209,-47,209,209,209
210,-46,210,210,210
211,-45,211,211,211
212,-44,212,212,212
213,-43,213,213,213
214,-42,214,214,214
215,-41,215,215,215
216,-40,216,216,216
217,-39,217,217,217
218,-38,218,218,218
219,-37,219,219,219
220,-36,220,220,220
221,-35,221,221,221
222,-34,222,222,222
223,-33,223,223,223
224,-32,224,224,224
225,-31,225,225,225
226,-30,226,226,226
227,-29,227,227,227
228,-28,228,228,228
229,-27,229,229,229
230,-26,230,230,230
231,-25,231,231,231
232,-24,232,232,232
233,-23,233,233,233
234,-22,234,234,234
235,-21,235,235,235
236,-20,236,236,236
237,-19,237,237,237
238,-18,238,238,238
239,-17,239,239,239
240,-16,240,240,240
241,-15,241,241,241
242,-14,242,242,242
243,-13,243,243,243
244,-12,244,244,244
245,-11,245,245,245
246,-10,246,246,246
247,-9,247,247,247
248,-8,248,248,248
249,-7,249,249,249
250,-6,250,250,250
251,-5,251,251,251
252,-4,252,252,252
253,-3,253,253,253
254,-2,254,254,254
255,-1,255,255,255
256,0,0,256,256
257,1,1,257,257
258,2,2,258,258
259,3,3,259,259
260,4,4,260,260
261,5,5,261,261
262,6,6,262,262
263,7,7,263,263
264,8,8,264,264
265,9,9,265,265
266,10,10,266,266
267,11,11,267,267
268,12,12,268,268
269,13,13,269,269
270,14,14,270,270
271,15,15,271,271
272,16,16,272,272
273,17,17,273,273
274,18,18,274,274
275,19,19,275,275
276,20,20,276,276
