t, ft, filtered ft Array, filtered ft Vector
1,0.736812,0.267007,0.267007
1.004,0.316513,0.329177,0.329177
1.00799,0.459987,0.383321,0.383321
1.01199,0.355734,0.432914,0.432914
1.01598,0.435193,0.394222,0.394222
1.01998,0.37901,0.410057,0.410057
1.02398,0.34715,0.420568,0.420568
1.02797,0.465964,0.443194,0.443194
1.03197,0.427361,0.435596,0.435596
1.03596,0.533564,0.431869,0.431869
1.03996,0.514118,0.429284,0.429284
1.04396,0.382004,0.402361,0.402361
1.04795,0.352922,0.384077,0.384077
1.05195,0.329055,0.326864,0.326864
1.05594,0.277501,0.260288,0.260288
1.05994,0.299375,0.24986,0.24986
1.06394,0.133073,0.233869,0.233869
1.06793,0.0480864,0.201665,0.201665
1.07193,0.309009,0.147502,0.147502
1.07592,0.240985,0.0661164,0.0661164
1.07992,0.103622,0.0637482,0.0637482
1.08392,-0.101637,0.0281732,0.0281732
1.08791,-0.270324,-0.060225,-0.060225
1.09191,0.116496,-0.161843,-0.161843
1.0959,-0.200939,-0.241863,-0.241863
1.0999,-0.309778,-0.248748,-0.248748
1.1039,-0.470343,-0.288885,-0.288885
1.10789,-0.456513,-0.342214,-0.342214
1.11189,-0.149834,-0.374292,-0.374292
1.11588,-0.551283,-0.404388,-0.404388
1.11988,-0.256807,-0.379983,-0.379983
1.12388,-0.425488,-0.37345,-0.37345
1.12787,-0.520446,-0.433634,-0.433634
1.13187,-0.299511,-0.425023,-0.425023
1.13586,-0.410779,-0.462798,-0.462798
1.13986,-0.571125,-0.477029,-0.477029
1.14386,-0.491004,-0.477661,-0.477661
1.14785,-0.521235,-0.507386,-0.507386
1.15185,-0.525102,-0.536903,-0.536903
1.15584,-0.524869,-0.519784,-0.519784
1.15984,-0.507586,-0.510369,-0.510369
1.16384,-0.617402,-0.512484,-0.512484
1.16783,-0.451294,-0.508604,-0.508604
1.17183,-0.425097,-0.476471,-0.476471
1.17582,-0.536035,-0.481915,-0.481915
1.17982,-0.497943,-0.469323,-0.469323
1.18382,-0.299938,-0.489613,-0.489613
1.18781,-0.545699,-0.530602,-0.530602
1.19181,-0.529255,-0.548723,-0.548723
1.1958,-0.593321,-0.531718,-0.531718
1.1998,-0.71202,-0.555694,-0.555694
1.2038,-0.662883,-0.53171,-0.53171
1.20779,-0.378906,-0.490234,-0.490234
1.21179,-0.467773,-0.4579,-0.4579
1.21578,-0.377809,-0.382409,-0.382409
1.21978,-0.238929,-0.316904,-0.316904
1.22378,-0.36698,-0.280514,-0.280514
1.22777,-0.183584,-0.235034,-0.235034
1.23177,-0.204347,-0.183543,-0.183543
1.23576,-0.124174,-0.152311,-0.152311
1.23976,-0.149415,-0.0985423,-0.0985423
1.24376,-0.0173734,-0.0573907,-0.0573907
1.24775,-0.0203078,-0.00698991,-0.00698991
1.25175,0.00940476,0.0448547,0.0448547
1.25574,0.104477,0.077507,0.077507
1.25974,0.148459,0.123404,0.123404
1.26374,0.238738,0.18547,0.18547
1.26773,0.0791508,0.217968,0.217968
1.27173,0.303909,0.247123,0.247123
1.27572,0.414151,0.263058,0.263058
1.27972,0.236891,0.286971,0.286971
1.28372,0.308563,0.362652,0.362652
1.28771,0.260004,0.362957,0.362957
1.29171,0.406127,0.359053,0.359053
1.2957,0.608919,0.361566,0.361566
1.2997,0.306045,0.358505,0.358505
1.3037,0.386823,0.393118,0.393118
1.30769,0.254482,0.431166,0.431166
1.31169,0.287138,0.419637,0.419637
1.31568,0.502295,0.465733,0.465733
1.31968,0.672462,0.488199,0.488199
1.32368,0.528214,0.53994,0.53994
1.32767,0.628714,0.578363,0.578363
1.33167,0.544087,0.580398,0.580398
1.33566,0.616669,0.555186,0.555186
1.33966,0.5561,0.549479,0.549479
1.34366,0.516542,0.532174,0.532174
1.34765,0.495979,0.523361,0.523361
1.35165,0.48826,0.482099,0.482099
1.35564,0.507584,0.449637,0.449637
1.35964,0.482394,0.431941,0.431941
1.36364,0.327832,0.430515,0.430515
1.36763,0.328865,0.382877,0.382877
1.37163,0.392673,0.366665,0.366665
1.37562,0.485998,0.344196,0.344196
1.37962,0.15479,0.308034,0.308034
1.38362,0.394101,0.295699,0.295699
1.38761,0.325115,0.294341,0.294341
1.39161,0.0746994,0.215527,0.215527
1.3956,0.242515,0.188914,0.188914
1.3996,0.383166,0.131095,0.131095
1.4036,-0.0656977,0.0873773,0.0873773
1.40759,-0.0315029,0.0755557,0.0755557
1.41159,-0.0106294,0.0308676,0.0308676
1.41558,0.0190906,-0.0348868,-0.0348868
1.41958,-0.00805145,-0.0342388,-0.0342388
1.42358,-0.0703021,-0.0478659,-0.0478659
1.42757,-0.0771149,-0.0693968,-0.0693968
1.43157,-0.0611614,-0.108385,-0.108385
1.43556,-0.126893,-0.144406,-0.144406
1.43956,-0.161345,-0.175038,-0.175038
1.44356,-0.253825,-0.207347,-0.207347
1.44755,-0.260203,-0.239447,-0.239447
1.45155,-0.284725,-0.26092,-0.26092
1.45554,-0.303274,-0.300842,-0.300842
1.45954,-0.285862,-0.334413,-0.334413
1.46354,-0.277204,-0.380228,-0.380228
1.46753,-0.4408,-0.411405,-0.411405
1.47153,-0.488823,-0.411085,-0.411085
1.47552,-0.580906,-0.424877,-0.424877
1.47952,-0.502963,-0.428692,-0.428692
1.48352,-0.301035,-0.465516,-0.465516
1.48751,-0.38241,-0.459165,-0.459165
1.49151,-0.303903,-0.41472,-0.41472
1.4955,-0.69857,-0.405214,-0.405214
1.4995,-0.444367,-0.428116,-0.428116
1.5035,-0.26979,-0.438753,-0.438753
1.50749,-0.436421,-0.454586,-0.454586
1.51149,-0.461351,-0.408475,-0.408475
1.51548,-0.456867,-0.39498,-0.39498
1.51948,-0.414736,-0.401733,-0.401733
1.52348,-0.375791,-0.379102,-0.379102
1.52747,-0.349904,-0.366262,-0.366262
1.53147,-0.317063,-0.351986,-0.351986
1.53546,-0.277999,-0.332286,-0.332286
1.53946,-0.371472,-0.315487,-0.315487
1.54346,-0.356935,-0.296807,-0.296807
1.54745,-0.276835,-0.28441,-0.28441
1.55145,-0.2582,-0.26976,-0.26976
1.55544,-0.219146,-0.252831,-0.252831
1.55944,-0.230283,-0.211832,-0.211832
1.56344,-0.175448,-0.174731,-0.174731
1.56743,-0.252969,-0.150916,-0.150916
1.57143,-0.069941,-0.133493,-0.133493
1.57542,-0.0171295,-0.117704,-0.117704
1.57942,-0.0914967,-0.113422,-0.113422
1.58342,-0.0971847,-0.0425558,-0.0425558
1.58741,-0.11976,0.010658,0.010658
1.59141,-0.145474,0.0151803,0.0151803
1.5954,0.243095,0.0870684,0.0870684
1.5994,0.302556,0.113374,0.113374
1.6034,0.0145263,0.165481,0.165481
1.60739,0.41172,0.238542,0.238542
1.61139,0.0869531,0.237654,0.237654
1.61538,0.24499,0.260574,0.260574
1.61938,0.365954,0.321293,0.321293
