t, ft, filtered ft Array, filtered ft Vector
1,0.53441,0.270564,0.270564
1.004,0.688298,0.292171,0.292171
1.00799,0.360544,0.309344,0.309344
1.01199,0.45127,0.325508,0.325508
1.01598,0.803041,0.337403,0.337403
1.01998,0.611816,0.350236,0.350236
1.02398,0.571922,0.356772,0.356772
1.02797,0.386043,0.369341,0.369341
1.03197,0.397591,0.369634,0.369634
1.03596,0.522501,0.378938,0.378938
1.03996,0.354414,0.377587,0.377587
1.04396,0.453746,0.359533,0.359533
1.04795,0.360638,0.329897,0.329897
1.05195,0.339443,0.305189,0.305189
1.05594,0.249781,0.272392,0.272392
1.05994,0.269498,0.239237,0.239237
1.06394,0.13725,0.196677,0.196677
1.06793,0.263965,0.150865,0.150865
1.07193,0.00614324,0.106059,0.106059
1.07592,0.19539,0.0612166,0.0612166
1.07992,-0.0283756,0.0290312,0.0290312
1.08392,0.155282,-0.0147082,-0.0147082
1.08791,0.0659245,-0.0642865,-0.0642865
1.09191,-0.158307,-0.103198,-0.103198
1.0959,-0.237471,-0.140378,-0.140378
1.0999,0.106787,-0.176486,-0.176486
1.1039,-0.281957,-0.213432,-0.213432
1.10789,-0.390123,-0.245149,-0.245149
1.11189,-0.554882,-0.283059,-0.283059
1.11588,-0.544096,-0.308537,-0.308537
1.11988,-0.153394,-0.347401,-0.347401
1.12388,-0.564113,-0.375857,-0.375857
1.12787,-0.587399,-0.402768,-0.402768
1.13187,-0.456496,-0.438247,-0.438247
1.13586,-0.441348,-0.466269,-0.466269
1.13986,-0.508475,-0.47829,-0.47829
1.14386,-0.506381,-0.509735,-0.509735
1.14785,-0.528795,-0.528696,-0.528696
1.15185,-0.53216,-0.530298,-0.530298
1.15584,-0.528891,-0.526066,-0.526066
1.15984,-0.620753,-0.508494,-0.508494
1.16384,-0.625958,-0.514142,-0.514142
1.16783,-0.409846,-0.497249,-0.497249
1.17183,-0.679123,-0.496581,-0.496581
1.17582,-0.746777,-0.491155,-0.491155
1.17982,-0.489903,-0.489291,-0.489291
1.18382,-0.553565,-0.476778,-0.476778
1.18781,-0.680128,-0.470777,-0.470777
1.19181,-0.423783,-0.449925,-0.449925
1.1958,-0.466003,-0.434404,-0.434404
1.1998,-0.175077,-0.410431,-0.410431
1.2038,-0.272015,-0.385153,-0.385153
1.20779,-0.209357,-0.356042,-0.356042
1.21179,-0.573363,-0.3357,-0.3357
1.21578,-0.342564,-0.300962,-0.300962
1.21978,-0.402196,-0.259206,-0.259206
1.22378,-0.245709,-0.227677,-0.227677
1.22777,-0.380355,-0.199412,-0.199412
1.23177,-0.090893,-0.156924,-0.156924
1.23576,-0.206219,-0.132765,-0.132765
1.23976,-0.0254589,-0.0967638,-0.0967638
1.24376,-0.0899165,-0.0632296,-0.0632296
1.24775,-0.0146219,-0.0454471,-0.0454471
1.25175,0.0173243,-0.0153629,-0.0153629
1.25574,0.0503753,0.0245945,0.0245945
1.25974,0.130102,0.0593346,0.0593346
1.26374,0.172202,0.0940521,0.0940521
1.26773,0.0399952,0.120694,0.120694
1.27173,0.212118,0.16477,0.16477
1.27572,0.0835629,0.197193,0.197193
1.27972,0.290025,0.238731,0.238731
1.28372,0.529141,0.273037,0.273037
1.28771,0.101418,0.300308,0.300308
1.29171,0.422412,0.328678,0.328678
1.2957,0.265743,0.347873,0.347873
1.2997,0.386976,0.370303,0.370303
1.3037,0.326873,0.386232,0.386232
1.30769,0.313775,0.400866,0.400866
1.31169,0.545232,0.42189,0.42189
1.31568,0.589999,0.433006,0.433006
1.31968,0.666078,0.450912,0.450912
1.32368,0.694958,0.455235,0.455235
1.32767,0.482786,0.452647,0.452647
1.33167,0.58115,0.4621,0.4621
1.33566,0.420402,0.463077,0.463077
1.33966,0.521414,0.472642,0.472642
1.34366,0.464611,0.468433,0.468433
1.34765,0.479518,0.464333,0.464333
1.35165,0.481504,0.45478,0.45478
1.35564,0.445554,0.445318,0.445318
1.35964,0.459589,0.4239,0.4239
1.36364,0.380798,0.389029,0.389029
1.36763,0.4748,0.364867,0.364867
1.37163,0.299917,0.346086,0.346086
1.37562,0.442937,0.325034,0.325034
1.37962,0.466613,0.298849,0.298849
1.38362,0.298587,0.26612,0.26612
1.38761,0.240763,0.235834,0.235834
1.39161,0.113163,0.206031,0.206031
1.3956,0.346544,0.171614,0.171614
1.3996,0.140209,0.138837,0.138837
1.4036,-0.0662138,0.104144,0.104144
1.40759,0.187569,0.072723,0.072723
1.41159,0.0883824,0.0363316,0.0363316
1.41558,0.139051,0.00513916,0.00513916
1.41958,-0.129488,-0.0331026,-0.0331026
1.42358,-0.165898,-0.0718257,-0.0718257
1.42757,-0.171379,-0.0995662,-0.0995662
1.43157,-0.14636,-0.129481,-0.129481
1.43556,-0.241252,-0.151019,-0.151019
1.43956,-0.242765,-0.197327,-0.197327
1.44356,-0.268945,-0.217773,-0.217773
1.44755,-0.279051,-0.237741,-0.237741
1.45155,-0.289421,-0.263583,-0.263583
1.45554,-0.355123,-0.295978,-0.295978
1.45954,-0.36014,-0.326182,-0.326182
1.46354,-0.346572,-0.333924,-0.333924
1.46753,-0.283965,-0.348863,-0.348863
1.47153,-0.387449,-0.360396,-0.360396
1.47552,-0.339125,-0.384378,-0.384378
1.47952,-0.625936,-0.396668,-0.396668
1.48352,-0.289151,-0.398589,-0.398589
1.48751,-0.485538,-0.406636,-0.406636
1.49151,-0.355126,-0.408052,-0.408052
1.4955,-0.591897,-0.411358,-0.411358
1.4995,-0.495233,-0.408629,-0.408629
1.5035,-0.292085,-0.407241,-0.407241
1.50749,-0.479611,-0.404433,-0.404433
1.51149,-0.413562,-0.402967,-0.402967
1.51548,-0.649989,-0.397011,-0.397011
1.51948,-0.499342,-0.390433,-0.390433
1.52348,-0.283105,-0.37275,-0.37275
1.52747,-0.437942,-0.363292,-0.363292
