ts, time, num_ions, num_electrons
0,0,100000,99956
5,5e-10,100000,99841
10,1e-09,99999,99694
15,1.5e-09,99999,99593
20,2e-09,99998,99503
25,2.5e-09,99998,99435
30,3e-09,99998,99368
35,3.5e-09,99998,99313
40,4e-09,99998,99267
45,4.5e-09,99998,99218
50,5e-09,99998,99159
55,5.5e-09,99997,99127
60,6e-09,99997,99105
65,6.5e-09,99997,99085
70,7e-09,99997,99062
75,7.5e-09,99997,99039
80,8e-09,99997,99025
85,8.5e-09,99997,98999
90,9e-09,99997,98959
95,9.5e-09,99997,98933
100,1e-08,99997,98908
105,1.05e-08,99997,98881
110,1.1e-08,99997,98844
115,1.15e-08,99997,98818
120,1.2e-08,99997,98797
125,1.25e-08,99997,98779
130,1.3e-08,99997,98753
135,1.35e-08,99997,98741
140,1.4e-08,99996,98730
145,1.45e-08,99995,98706
150,1.5e-08,99995,98685
155,1.55e-08,99995,98669
160,1.6e-08,99995,98656
165,1.65e-08,99995,98647
170,1.7e-08,99995,98644
175,1.75e-08,99995,98642
180,1.8e-08,99995,98639
185,1.85e-08,99995,98630
190,1.9e-08,99995,98621
195,1.95e-08,99995,98611
200,2e-08,99995,98578
205,2.05e-08,99995,98553
210,2.1e-08,99994,98529
215,2.15e-08,99994,98511
220,2.2e-08,99994,98507
225,2.25e-08,99994,98507
230,2.3e-08,99994,98506
235,2.35e-08,99994,98506
240,2.4e-08,99994,98506
245,2.45e-08,99994,98506
250,2.5e-08,99994,98506
255,2.55e-08,99994,98505
260,2.6e-08,99994,98498
265,2.65e-08,99994,98488
270,2.7e-08,99994,98467
275,2.75e-08,99993,98448
280,2.8e-08,99992,98423
285,2.85e-08,99992,98408
290,2.9e-08,99992,98392
295,2.95e-08,99992,98387
300,3e-08,99992,98380
305,3.05e-08,99992,98380
310,3.1e-08,99992,98380
315,3.15e-08,99992,98380
320,3.2e-08,99992,98380
325,3.25e-08,99991,98380
330,3.3e-08,99991,98369
335,3.35e-08,99991,98346
340,3.4e-08,99991,98322
345,3.45e-08,99991,98268
350,3.5e-08,99991,98235
355,3.55e-08,99991,98226
360,3.6e-08,99991,98221
365,3.65e-08,99991,98221
370,3.7e-08,99991,98221
375,3.75e-08,99991,98221
380,3.8e-08,99991,98221
385,3.85e-08,99991,98221
390,3.9e-08,99991,98213
395,3.95e-08,99989,98196
400,4e-08,99987,98177
405,4.05e-08,99987,98156
410,4.1e-08,99987,98149
415,4.15e-08,99987,98143
420,4.2e-08,99987,98141
425,4.25e-08,99987,98141
430,4.3e-08,99987,98141
435,4.35e-08,99987,98141
440,4.4e-08,99987,98141
445,4.45e-08,99987,98141
450,4.5e-08,99987,98135
455,4.55e-08,99987,98112
460,4.6e-08,99987,98074
465,4.65e-08,99986,98053
470,4.7e-08,99985,98045
475,4.75e-08,99985,98043
480,4.8e-08,99985,98039
485,4.85e-08,99985,98039
490,4.9e-08,99984,98039
495,4.95e-08,99984,98039
500,5e-08,99984,98039
505,5.05e-08,99984,98039
510,5.1e-08,99984,98039
515,5.15e-08,99984,98039
520,5.2e-08,99983,98035
525,5.25e-08,99983,98035
530,5.3e-08,99982,98034
535,5.35e-08,99982,98034
540,5.4e-08,99981,98034
545,5.45e-08,99979,98032
550,5.5e-08,99978,98028
555,5.55e-08,99978,98028
560,5.6e-08,99978,98022
565,5.65e-08,99975,98019
570,5.7e-08,99972,98010
575,5.75e-08,99972,98003
580,5.8e-08,99972,98000
585,5.85e-08,99972,97994
590,5.9e-08,99972,97989
595,5.95e-08,99971,97982
600,6e-08,99970,97980
605,6.05e-08,99969,97977
610,6.1e-08,99969,97977
615,6.15e-08,99969,97977
620,6.2e-08,99969,97977
625,6.25e-08,99968,97977
630,6.3e-08,99968,97977
635,6.35e-08,99968,97976
640,6.4e-08,99968,97976
645,6.45e-08,99968,97975
650,6.5e-08,99968,97968
655,6.55e-08,99968,97965
660,6.6e-08,99968,97965
665,6.65e-08,99967,97965
670,6.7e-08,99966,97965
675,6.75e-08,99964,97965
680,6.8e-08,99964,97959
685,6.85e-08,99964,97955
690,6.9e-08,99964,97954
695,6.95e-08,99963,97953
700,7e-08,99963,97953
705,7.05e-08,99963,97953
710,7.1e-08,99963,97953
715,7.15e-08,99963,97953
720,7.2e-08,99961,97951
725,7.25e-08,99960,97950
730,7.3e-08,99959,97945
735,7.35e-08,99959,97942
740,7.4e-08,99959,97937
745,7.45e-08,99959,97936
750,7.5e-08,99958,97935
755,7.55e-08,99958,97935
760,7.6e-08,99958,97935
765,7.65e-08,99958,97934
770,7.7e-08,99956,97932
775,7.75e-08,99956,97930
780,7.8e-08,99955,97929
785,7.85e-08,99952,97928
790,7.9e-08,99952,97920
795,7.95e-08,99952,97919
800,8e-08,99950,97918
805,8.05e-08,99949,97917
810,8.1e-08,99949,97914
815,8.15e-08,99948,97909
820,8.2e-08,99948,97908
825,8.25e-08,99948,97905
830,8.3e-08,99947,97904
835,8.35e-08,99946,97903
840,8.4e-08,99945,97893
845,8.45e-08,99945,97887
850,8.5e-08,99945,97877
855,8.55e-08,99944,97865
860,8.6e-08,99944,97852
865,8.65e-08,99943,97850
870,8.7e-08,99943,97839
875,8.75e-08,99942,97834
880,8.8e-08,99942,97828
885,8.85e-08,99942,97828
890,8.9e-08,99942,97825
895,8.95e-08,99942,97823
900,9e-08,99942,97818
905,9.05e-08,99941,97804
910,9.1e-08,99940,97792
915,9.15e-08,99938,97783
920,9.2e-08,99937,97774
925,9.25e-08,99935,97735
930,9.3e-08,99935,97723
935,9.35e-08,99935,97714
940,9.4e-08,99934,97705
945,9.45e-08,99934,97695
950,9.5e-08,99934,97689
955,9.55e-08,99933,97681
960,9.6e-08,99933,97678
965,9.65e-08,99932,97671
970,9.7e-08,99932,97663
975,9.75e-08,99931,97655
980,9.8e-08,99931,97643
985,9.85e-08,99930,97633
990,9.9e-08,99928,97618
995,9.95e-08,99928,97614
1000,1e-07,99928,97609
1005,1.005e-07,99928,97605
1010,1.01e-07,99928,97595
1015,1.015e-07,99927,97575
1020,1.02e-07,99926,97555
1025,1.025e-07,99924,97533
1030,1.03e-07,99923,97515
1035,1.035e-07,99921,97506
1040,1.04e-07,99920,97499
1045,1.045e-07,99920,97487
1050,1.05e-07,99919,97478
1055,1.055e-07,99919,97473
1060,1.06e-07,99919,97470
1065,1.065e-07,99918,97466
1070,1.07e-07,99918,97464
1075,1.075e-07,99917,97457
1080,1.08e-07,99917,97450
1085,1.085e-07,99915,97435
1090,1.09e-07,99915,97423
1095,1.095e-07,99913,97393
1100,1.1e-07,99912,97378
1105,1.105e-07,99911,97375
1110,1.11e-07,99911,97369
1115,1.115e-07,99909,97365
1120,1.12e-07,99906,97361
1125,1.125e-07,99904,97359
1130,1.13e-07,99904,97347
1135,1.135e-07,99901,97336
1140,1.14e-07,99898,97320
1145,1.145e-07,99894,97311
1150,1.15e-07,99893,97307
1155,1.155e-07,99891,97302
1160,1.16e-07,99890,97290
1165,1.165e-07,99888,97287
1170,1.17e-07,99887,97284
1175,1.175e-07,99884,97279
1180,1.18e-07,99884,97277
1185,1.185e-07,99880,97273
1190,1.19e-07,99879,97267
1195,1.195e-07,99877,97263
1200,1.2e-07,99876,97252
1205,1.205e-07,99875,97242
1210,1.21e-07,99875,97238
1215,1.215e-07,99873,97236
