ts, time, num_ions, ion Current, num_electrons, elec Current
Avg KE Electrons,0.14896, Avg KE Ions,0.00432603,,
0,0,200000,0,199932,0
100,1e-08,199996,0.0320435,197897,16.3021
200,2e-08,199991,0.0400544,197214,5.47143
300,3e-08,199983,0.0640871,196970,1.95466
400,4e-08,199975,0.0640871,196758,1.69831
500,5e-08,199968,0.0560762,196479,2.23504
600,6e-08,199946,0.176239,196154,2.60354
700,7e-08,199931,0.120163,196042,0.897219
800,8e-08,199913,0.144196,195895,1.1776
900,9e-08,199888,0.200272,195788,0.857164
1000,1e-07,199864,0.192261,195623,1.3218
1100,1.1e-07,199835,0.232316,195557,0.528718
1200,1.2e-07,199800,0.280381,195212,2.76375
1300,1.3e-07,199745,0.440599,194798,3.31651
1400,1.4e-07,199686,0.472642,194700,0.785067
1500,1.5e-07,199623,0.504686,194608,0.737001
1600,1.6e-07,199550,0.584794,194566,0.336457
1700,1.7e-07,199465,0.680925,194520,0.368501
1800,1.8e-07,199364,0.809099,194440,0.640871
1900,1.9e-07,199225,1.11351,194346,0.753023
2000,2e-07,199076,1.19362,194199,1.1776
2100,2.1e-07,198939,1.09749,194094,0.841143
2200,2.2e-07,198810,1.0334,193995,0.793077
2300,2.3e-07,198647,1.30577,193916,0.63286
2400,2.4e-07,198510,1.09749,193857,0.472642
2500,2.5e-07,198337,1.38588,193765,0.737001
2600,2.6e-07,198145,1.53809,193626,1.11351
2700,2.7e-07,197977,1.34583,193512,0.913241
2800,2.8e-07,197776,1.61019,193473,0.312424
2900,2.9e-07,197591,1.48201,193407,0.528718
3000,3e-07,197385,1.65024,193345,0.496675
3100,3.1e-07,197194,1.53008,193253,0.737001
3200,3.2e-07,197009,1.48201,193158,0.761034
3300,3.3e-07,196824,1.48201,193100,0.464631
3400,3.4e-07,196638,1.49002,193049,0.408555
3500,3.5e-07,196469,1.35384,193004,0.36049
3600,3.6e-07,196288,1.44997,192933,0.568773
3700,3.7e-07,196074,1.71433,192870,0.504686
3800,3.8e-07,195905,1.35384,192796,0.592805
3900,3.9e-07,195728,1.41793,192745,0.408555
4000,4e-07,195541,1.49804,192707,0.304414
4100,4.1e-07,195371,1.36185,192667,0.320435
4200,4.2e-07,195198,1.38588,192618,0.392533
4300,4.3e-07,195044,1.23368,192578,0.320435
4400,4.4e-07,194898,1.16959,192520,0.464631
4500,4.5e-07,194738,1.28174,192460,0.480653
4600,4.6e-07,194586,1.21765,192397,0.504686
4700,4.7e-07,194448,1.1055,192314,0.664903
4800,4.8e-07,194302,1.16959,192265,0.392533
4900,4.9e-07,194156,1.16959,192208,0.45662
5000,5e-07,194030,1.00937,192150,0.464631
5100,5.1e-07,193901,1.0334,192097,0.424577
5200,5.2e-07,193761,1.12152,192053,0.352479
5300,5.3e-07,193619,1.13755,192015,0.304414
5400,5.4e-07,193529,0.720979,191956,0.472642
5500,5.5e-07,193415,0.913241,191916,0.320435
5600,5.6e-07,193279,1.08948,191855,0.488664
5700,5.7e-07,193160,0.953295,191794,0.488664
5800,5.8e-07,193054,0.849154,191748,0.368501
5900,5.9e-07,192946,0.865175,191690,0.464631
6000,6e-07,192850,0.769045,191627,0.504686
6100,6.1e-07,192751,0.793077,191555,0.576784
6200,6.2e-07,192655,0.769045,191508,0.376511
6300,6.3e-07,192573,0.656892,191450,0.464631
6400,6.4e-07,192488,0.680925,191381,0.552751
6500,6.5e-07,192402,0.688936,191338,0.344468
6600,6.6e-07,192323,0.63286,191283,0.440599
6700,6.7e-07,192250,0.584794,191250,0.264359
6800,6.8e-07,192172,0.624849,191213,0.296403
6900,6.9e-07,192100,0.576784,191169,0.352479
7000,7e-07,192024,0.608827,191129,0.320435
7100,7.1e-07,191952,0.576784,191083,0.368501
7200,7.2e-07,191889,0.504686,191052,0.248337
7300,7.3e-07,191824,0.520707,190993,0.472642
7400,7.4e-07,191760,0.512697,190937,0.448609
7500,7.5e-07,191691,0.552751,190878,0.472642
7600,7.6e-07,191637,0.432588,190839,0.312424
7700,7.7e-07,191569,0.54474,190808,0.248337
7800,7.8e-07,191509,0.480653,190773,0.280381
7900,7.9e-07,191442,0.536729,190710,0.504686
8000,8e-07,191373,0.552751,190644,0.528718
8100,8.1e-07,191322,0.408555,190573,0.568773
8200,8.2e-07,191274,0.384522,190528,0.36049
8300,8.3e-07,191225,0.392533,190492,0.288392
8400,8.4e-07,191178,0.376511,190458,0.27237
8500,8.5e-07,191125,0.424577,190428,0.240326
8600,8.6e-07,191075,0.400544,190395,0.264359
8700,8.7e-07,191030,0.36049,190375,0.160218
8800,8.8e-07,190986,0.352479,190357,0.144196
8900,8.9e-07,190953,0.264359,190304,0.424577
9000,9e-07,190919,0.27237,190269,0.280381
9100,9.1e-07,190877,0.336457,190226,0.344468
9200,9.2e-07,190841,0.288392,190199,0.216294
9300,9.3e-07,190795,0.368501,190133,0.528718
9400,9.4e-07,190744,0.408555,190060,0.584794
9500,9.5e-07,190699,0.36049,189988,0.576784
9600,9.6e-07,190667,0.256348,189949,0.312424
9700,9.7e-07,190629,0.304414,189903,0.368501
9800,9.8e-07,190594,0.280381,189865,0.304414
9900,9.9e-07,190557,0.296403,189811,0.432588
10000,1e-06,190520,0.296403,189787,0.192261
10100,1.01e-06,190486,0.27237,189739,0.384522
10200,1.02e-06,190446,0.320435,189704,0.280381
10300,1.03e-06,190413,0.264359,189650,0.432588
10400,1.04e-06,190383,0.240326,189617,0.264359
10500,1.05e-06,190345,0.304414,189573,0.352479
10600,1.06e-06,190308,0.296403,189506,0.536729
10700,1.07e-06,190269,0.312424,189429,0.616838
10800,1.08e-06,190233,0.288392,189400,0.232316
10900,1.09e-06,190198,0.280381,189366,0.27237
11000,1.1e-06,190172,0.208283,189306,0.480653
11100,1.11e-06,190139,0.264359,189258,0.384522
11200,1.12e-06,190118,0.168229,189216,0.336457
11300,1.13e-06,190096,0.176239,189165,0.408555
11400,1.14e-06,190064,0.256348,189096,0.552751
11500,1.15e-06,190025,0.312424,189013,0.664903
11600,1.16e-06,190001,0.192261,188939,0.592805
11700,1.17e-06,189973,0.224305,188865,0.592805
11800,1.18e-06,189939,0.27237,188782,0.664903
11900,1.19e-06,189896,0.344468,188718,0.512697
12000,1.2e-06,189867,0.232316,188638,0.640871
12100,1.21e-06,189837,0.240326,188592,0.368501
12200,1.22e-06,189814,0.18425,188565,0.216294
12300,1.23e-06,189784,0.240326,188505,0.480653
12400,1.24e-06,189752,0.256348,188458,0.376511
12500,1.25e-06,189710,0.336457,188399,0.472642
12600,1.26e-06,189665,0.36049,188348,0.408555
12700,1.27e-06,189623,0.336457,188305,0.344468
