x,phi,rho,ef,ndi,nde
0,0,0,0,9.59702e+14,2.95913e+14
0.0025,0,0,-0,1.02247e+15,2.98325e+14
0.005,0,0,-0,9.98115e+14,2.93828e+14
0.0075,0,0,-0,1.00094e+15,3.14534e+14
0.01,0,0,-0,9.90928e+14,2.99622e+14
0.0125,0,0,-0,9.96221e+14,3.01648e+14
0.015,0,0,-0,1.01992e+15,3.03924e+14
0.0175,0,0,-0,1.02486e+15,2.87862e+14
0.02,0,0,-0,9.97959e+14,3.00198e+14
0.0225,0,0,-0,9.90457e+14,3.1948e+14
0.025,0,0,-0,9.89666e+14,3.17876e+14
0.0275,0,0,-0,1.01271e+15,3.22393e+14
0.03,0,0,-0,9.88749e+14,3.16754e+14
0.0325,0,0,-0,9.71978e+14,3.09251e+14
0.035,0,0,-0,9.70862e+14,3.15303e+14
0.0375,0,0,-0,9.87834e+14,3.21459e+14
0.04,0,0,-0,1.00755e+15,2.90392e+14
0.0425,0,0,-0,1.01829e+15,3.10395e+14
0.045,0,0,-0,9.96515e+14,3.17629e+14
0.0475,0,0,-0,1.01439e+15,2.98866e+14
0.05,0,0,-0,1.02464e+15,3.18278e+14
0.0525,0,0,-0,9.88143e+14,3.2038e+14
0.055,0,0,-0,1.00634e+15,3.22517e+14
0.0575,0,0,-0,9.99865e+14,3.09817e+14
0.06,0,0,-0,9.86679e+14,3.16227e+14
0.0625,0,0,-0,9.82277e+14,3.07926e+14
0.065,0,0,-0,9.98164e+14,3.30402e+14
0.0675,0,0,-0,9.79921e+14,3.29241e+14
0.07,0,0,-0,9.83162e+14,3.2633e+14
0.0725,0,0,-0,1.01243e+15,3.07668e+14
0.075,0,0,-0,9.91238e+14,3.03834e+14
0.0775,0,0,-0,1.03323e+15,2.94642e+14
0.08,0,0,-0,1.01207e+15,2.96621e+14
0.0825,0,0,-0,1.00847e+15,2.96946e+14
0.085,0,0,-0,9.72164e+14,2.9865e+14
0.0875,0,0,-0,9.93425e+14,3.146e+14
0.09,0,0,-0,1.00475e+15,3.04921e+14
0.0925,0,0,-0,9.8504e+14,3.09518e+14
0.095,0,0,-0,1.00647e+15,3.13436e+14
0.0975,0,0,-0,1.02176e+15,2.9958e+14
0.1,0,0,0,9.89404e+14,2.85542e+14
