ts,time,num_ions,num_eles,KE_ions,KE_eles,I_ions, I_eles, T_ions, T_eles
0,0,399999,399971,0.0499521,0.499513,0,-0,0.0999042,0.999027
100,1e-09,399997,398625,0.0499513,0.497941,0.00801088,5.39132,0.0999027,0.995882
200,2e-09,399996,397315,0.0499511,0.496201,0.00400544,5.24713,0.0999021,0.992402
300,3e-09,399995,396118,0.0499508,0.49426,0.00400544,4.79451,0.0999016,0.988519
400,4e-09,399991,395116,0.0499501,0.492201,0.0160218,4.01345,0.0999002,0.984402
500,5e-09,399988,394283,0.0499501,0.490184,0.0120163,3.33653,0.0999002,0.980368
600,6e-09,399984,393692,0.0499498,0.488703,0.0160218,2.36722,0.0998996,0.977405
700,7e-09,399982,393256,0.0499495,0.488052,0.00801088,1.74637,0.099899,0.976105
800,8e-09,399978,392921,0.0499496,0.488093,0.0160218,1.34182,0.0998992,0.976187
900,9e-09,399974,392635,0.0499495,0.488311,0.0160218,1.14556,0.099899,0.976623
1000,1e-08,399973,392354,0.0499499,0.488425,0.00400544,1.12553,0.0998998,0.976849
1100,1.1e-08,399968,392083,0.0499501,0.488197,0.0200272,1.08547,0.0999003,0.976395
1200,1.2e-08,399966,391763,0.0499506,0.487436,0.00801088,1.28174,0.0999011,0.974872
1300,1.3e-08,399964,391448,0.0499505,0.486359,0.00801088,1.26171,0.0999011,0.972717
1400,1.4e-08,399961,391161,0.0499502,0.485014,0.0120163,1.14956,0.0999005,0.970028
1500,1.5e-08,399957,390887,0.049951,0.483539,0.0160218,1.09749,0.099902,0.967077
1600,1.6e-08,399957,390616,0.0499524,0.481996,0,1.08547,0.0999047,0.963991
1700,1.7e-08,399950,390374,0.0499528,0.480488,0.0280381,0.969317,0.0999057,0.960976
1800,1.8e-08,399947,390172,0.0499547,0.479291,0.0120163,0.809099,0.0999094,0.958582
1900,1.9e-08,399944,389973,0.0499568,0.478535,0.0120163,0.797083,0.0999135,0.957071
2000,2e-08,399940,389818,0.0499588,0.478219,0.0160218,0.620843,0.0999176,0.956437
2100,2.1e-08,399937,389674,0.0499601,0.478186,0.0120163,0.576784,0.0999203,0.956373
2200,2.2e-08,399935,389554,0.0499629,0.478259,0.00801088,0.480653,0.0999258,0.956517
2300,2.3e-08,399932,389441,0.0499654,0.478315,0.0120163,0.452615,0.0999309,0.956629
2400,2.4e-08,399931,389305,0.0499685,0.478213,0.00400544,0.54474,0.0999369,0.956427
2500,2.5e-08,399928,389203,0.0499709,0.47791,0.0120163,0.408555,0.0999419,0.955821
2600,2.6e-08,399926,389097,0.0499749,0.477464,0.00801088,0.424577,0.0999498,0.954927
2700,2.7e-08,399923,388973,0.0499785,0.476706,0.0120163,0.496675,0.099957,0.953413
2800,2.8e-08,399920,388847,0.049983,0.47573,0.0120163,0.504686,0.099966,0.95146
2900,2.9e-08,399915,388708,0.049987,0.474583,0.0200272,0.556756,0.099974,0.949165
3000,3e-08,399911,388571,0.0499927,0.473497,0.0160218,0.548745,0.0999854,0.946993
3100,3.1e-08,399911,388461,0.0499988,0.472734,0,0.440599,0.0999975,0.945468
3200,3.2e-08,399908,388378,0.0500044,0.472306,0.0120163,0.332452,0.100009,0.944613
3300,3.3e-08,399907,388276,0.0500114,0.472239,0.00400544,0.408555,0.100023,0.944478
3400,3.4e-08,399904,388196,0.0500175,0.472381,0.0120163,0.320435,0.100035,0.944763
3500,3.5e-08,399902,388121,0.0500247,0.472531,0.00801088,0.300408,0.100049,0.945063
3600,3.6e-08,399900,388045,0.0500322,0.472605,0.00801088,0.304414,0.100064,0.94521
3700,3.7e-08,399899,387986,0.0500401,0.472446,0.00400544,0.236321,0.10008,0.944891
3800,3.8e-08,399896,387920,0.0500482,0.472033,0.0120163,0.264359,0.100096,0.944066
3900,3.9e-08,399892,387860,0.0500566,0.471315,0.0160218,0.240326,0.100113,0.94263
4000,4e-08,399887,387769,0.0500645,0.470357,0.0200272,0.364495,0.100129,0.940714
4100,4.1e-08,399886,387677,0.0500732,0.469338,0.00400544,0.368501,0.100146,0.938675
4200,4.2e-08,399883,387604,0.0500834,0.468458,0.0120163,0.292397,0.100167,0.936916
4300,4.3e-08,399880,387537,0.0500939,0.467832,0.0120163,0.268365,0.100188,0.935664
4400,4.4e-08,399878,387466,0.0501055,0.467607,0.00801088,0.284386,0.100211,0.935214
4500,4.5e-08,399875,387385,0.0501173,0.46776,0.0120163,0.324441,0.100235,0.935521
4600,4.6e-08,399872,387323,0.0501293,0.468126,0.0120163,0.248337,0.100259,0.936252
4700,4.7e-08,399869,387285,0.0501417,0.468411,0.0120163,0.152207,0.100283,0.936822
4800,4.8e-08,399864,387237,0.050154,0.468516,0.0200272,0.192261,0.100308,0.937033
4900,4.9e-08,399857,387183,0.0501661,0.468362,0.0280381,0.216294,0.100332,0.936724
5000,5e-08,399851,387125,0.0501781,0.467899,0.0240326,0.232316,0.100356,0.935798
5100,5.1e-08,399845,387087,0.0501914,0.467136,0.0240326,0.152207,0.100383,0.934272
5200,5.2e-08,399837,387030,0.0502049,0.466205,0.0320435,0.22831,0.10041,0.93241
5300,5.3e-08,399830,386968,0.0502186,0.465342,0.0280381,0.248337,0.100437,0.930685
5400,5.4e-08,399824,386910,0.0502327,0.464733,0.0240326,0.232316,0.100465,0.929465
5500,5.5e-08,399821,386861,0.0502486,0.464502,0.0120163,0.196267,0.100497,0.929005
5600,5.6e-08,399819,386823,0.0502659,0.464564,0.00801088,0.152207,0.100532,0.929129
5700,5.7e-08,399819,386778,0.0502841,0.46483,0,0.180245,0.100568,0.929661
5800,5.8e-08,399816,386743,0.0503024,0.46508,0.0120163,0.14019,0.100605,0.930161
5900,5.9e-08,399813,386697,0.0503213,0.465171,0.0120163,0.18425,0.100643,0.930341
6000,6e-08,399809,386654,0.0503401,0.46506,0.0160218,0.172234,0.10068,0.93012
6100,6.1e-08,399802,386619,0.0503601,0.46478,0.0280381,0.14019,0.10072,0.92956
6200,6.2e-08,399797,386584,0.0503803,0.464318,0.0200272,0.14019,0.100761,0.928636
6300,6.3e-08,399790,386550,0.0503994,0.463674,0.0280381,0.136185,0.100799,0.927348
6400,6.4e-08,399784,386518,0.0504201,0.462953,0.0240326,0.128174,0.10084,0.925907
6500,6.5e-08,399783,386466,0.0504426,0.462251,0.00400544,0.208283,0.100885,0.924502
6600,6.6e-08,399777,386424,0.0504645,0.4618,0.0240326,0.168229,0.100929,0.923601
6700,6.7e-08,399776,386390,0.0504883,0.461635,0.00400544,0.136185,0.100977,0.92327
6800,6.8e-08,399771,386357,0.0505117,0.461739,0.0200272,0.13218,0.101023,0.923479
6900,6.9e-08,399768,386327,0.0505365,0.462009,0.0120163,0.120163,0.101073,0.924018
7000,7e-08,399761,386302,0.0505614,0.462286,0.0280381,0.100136,0.101123,0.924573
7100,7.1e-08,399755,386273,0.0505861,0.46244,0.0240326,0.116158,0.101172,0.924879
7200,7.2e-08,399752,386243,0.050612,0.462408,0.0120163,0.120163,0.101224,0.924816
7300,7.3e-08,399746,386218,0.0506372,0.462146,0.0240326,0.100136,0.101274,0.924293
7400,7.4e-08,399741,386186,0.0506642,0.46168,0.0200272,0.128174,0.101328,0.923359
7500,7.5e-08,399737,386159,0.0506925,0.461077,0.0160218,0.108147,0.101385,0.922154
7600,7.6e-08,399731,386129,0.05072,0.460473,0.0240326,0.120163,0.10144,0.920945
7700,7.7e-08,399726,386108,0.0507491,0.459994,0.0200272,0.0841143,0.101498,0.919989
7800,7.8e-08,399720,386079,0.0507784,0.459717,0.0240326,0.116158,0.101557,0.919434
7900,7.9e-08,399713,386057,0.0508079,0.459691,0.0280381,0.0881197,0.101616,0.919382
8000,8e-08,399708,386033,0.0508386,0.459871,0.0200272,0.0961306,0.101677,0.919742
8100,8.1e-08,399705,386009,0.0508703,0.460166,0.0120163,0.0961306,0.101741,0.920332
8200,8.2e-08,399700,385995,0.0509019,0.460457,0.0200272,0.0560762,0.101804,0.920913
8300,8.3e-08,399691,385980,0.0509315,0.460659,0.036049,0.0600816,0.101863,0.921318
8400,8.4e-08,399686,385971,0.0509627,0.460708,0.0200272,0.036049,0.101925,0.921416
8500,8.5e-08,399683,385963,0.0509954,0.460532,0.0120163,0.0320435,0.101991,0.921064
8600,8.6e-08,399674,385954,0.0510259,0.460121,0.036049,0.036049,0.102052,0.920242
8700,8.7e-08,399666,385935,0.051059,0.459558,0.0320435,0.0761034,0.102118,0.919117
8800,8.8e-08,399662,385910,0.0510943,0.458999,0.0160218,0.100136,0.102189,0.917999
8900,8.9e-08,399652,385891,0.0511247,0.458605,0.0400544,0.0761034,0.102249,0.91721
9000,9e-08,399648,385878,0.0511606,0.458503,0.0160218,0.0520707,0.102321,0.917005
9100,9.1e-08,399645,385866,0.0511985,0.458701,0.0120163,0.0480653,0.102397,0.917402
