x,y
0,0
0,1e-07
-5.50688e-10,2e-07
-1.65206e-09,2.99997e-07
-3.30411e-09,3.99989e-07
-5.50681e-09,4.99972e-07
-8.26011e-09,5.99945e-07
-1.1564e-08,6.99904e-07
-1.54183e-08,7.99846e-07
-1.9823e-08,8.99768e-07
-2.4778e-08,9.99669e-07
-3.02833e-08,1.09955e-06
-3.63385e-08,1.19939e-06
-4.29438e-08,1.29921e-06
-5.00987e-08,1.399e-06
-5.78034e-08,1.49875e-06
-6.60574e-08,1.59846e-06
-7.48607e-08,1.69813e-06
-8.4213e-08,1.79775e-06
-9.41141e-08,1.89733e-06
-1.04564e-07,1.99686e-06
-1.15562e-07,2.09633e-06
-1.27108e-07,2.19576e-06
-1.39202e-07,2.29512e-06
-1.51843e-07,2.39442e-06
-1.65032e-07,2.49366e-06
-1.78767e-07,2.59284e-06
-1.93049e-07,2.69194e-06
-2.07877e-07,2.79098e-06
-2.23251e-07,2.88993e-06
-2.39171e-07,2.98882e-06
-2.55636e-07,3.08762e-06
-2.72645e-07,3.18634e-06
-2.90199e-07,3.28497e-06
-3.08296e-07,3.38352e-06
-3.26937e-07,3.48198e-06
-3.46121e-07,3.58034e-06
-3.65847e-07,3.67861e-06
-3.86115e-07,3.77678e-06
-4.06925e-07,3.87484e-06
-4.28276e-07,3.97281e-06
-4.50168e-07,4.07066e-06
-4.72599e-07,4.16841e-06
-4.9557e-07,4.26604e-06
-5.19079e-07,4.36356e-06
-5.43127e-07,4.46096e-06
-5.67713e-07,4.55825e-06
-5.92835e-07,4.6554e-06
-6.18494e-07,4.75244e-06
-6.44689e-07,4.84934e-06
-6.71419e-07,4.94611e-06
-6.98684e-07,5.04275e-06
-7.26482e-07,5.13925e-06
-7.54814e-07,5.23562e-06
-7.83678e-07,5.33184e-06
-8.13074e-07,5.42791e-06
-8.43001e-07,5.52384e-06
-8.73458e-07,5.61962e-06
-9.04445e-07,5.71525e-06
-9.3596e-07,5.81072e-06
-9.68004e-07,5.90604e-06
-1.00057e-06,6.00119e-06
-1.03367e-06,6.09618e-06
-1.0673e-06,6.19101e-06
-1.10144e-06,6.28566e-06
-1.13611e-06,6.38015e-06
-1.17131e-06,6.47446e-06
-1.20703e-06,6.5686e-06
-1.24326e-06,6.66255e-06
-1.28002e-06,6.75633e-06
-1.3173e-06,6.84992e-06
-1.3551e-06,6.94333e-06
-1.39341e-06,7.03654e-06
-1.43224e-06,7.12957e-06
-1.47159e-06,7.2224e-06
-1.51145e-06,7.31503e-06
-1.55183e-06,7.40746e-06
-1.59272e-06,7.4997e-06
-1.63412e-06,7.59172e-06
-1.67603e-06,7.68354e-06
-1.71845e-06,7.77515e-06
-1.76138e-06,7.86655e-06
-1.80481e-06,7.95773e-06
-1.84876e-06,8.04869e-06
-1.89321e-06,8.13944e-06
-1.93816e-06,8.22996e-06
-1.98362e-06,8.32026e-06
-2.02958e-06,8.41033e-06
-2.07603e-06,8.50017e-06
-2.12299e-06,8.58977e-06
-2.17045e-06,8.67915e-06
-2.21841e-06,8.76828e-06
-2.26686e-06,8.85717e-06
-2.31581e-06,8.94583e-06
-2.36525e-06,9.03423e-06
-2.41518e-06,9.12239e-06
-2.46561e-06,9.2103e-06
-2.51652e-06,9.29796e-06
-2.56793e-06,9.38536e-06
-2.61982e-06,9.4725e-06
