x,v
0.0244392,702623
0.0229728,680753
0.0323461,862665
0.0770093,-669402
0.0285925,790175
0.0688921,-825161
0.0729389,-748027
0.0262042,742846
0.077005,-674942
0.0231845,674184
0.0242885,697754
0.0754157,-693228
0.078816,-622561
0.031096,840214
0.0259695,737086
0.0726645,-749844
0.0228281,680460
0.0764455,-680625
0.0701163,-798344
0.0767812,-664611
0.0291172,799342
0.0732938,-737849
0.0227777,677278
0.0768412,-673980
0.0235892,679707
0.0626661,-965900
0.0775415,-675706
0.0777452,-672771
0.0738783,-713660
0.0227635,680711
0.0775211,-683629
0.0717638,-748493
0.0772892,-673878
0.0789425,-610656
0.0228798,664249
0.0289145,794188
0.0753877,-697093
0.0786939,-638170
0.0230971,667378
0.0793374,-563675
0.0225761,666419
0.0225812,668407
0.0725994,-746545
0.0358849,914939
0.0259087,733368
0.0250271,712547
0.0810759,-529663
0.0280894,777188
0.0753854,-703252
0.0346726,893343
0.02885,791619
0.0377024,959518
0.0224662,663113
0.0777515,-621258
0.035785,912223
0.0793404,-569770
0.0759993,-668479
0.0772072,-647651
0.0225519,674963
0.0776654,-679610
0.0754193,-671528
0.068605,-828698
0.0306637,828201
0.0227012,654894
0.0264781,744214
0.077587,-677062
0.078462,-658347
0.0225872,652148
0.068372,-830763
0.022362,649019
0.0241062,686970
0.0779065,-634336
0.0780451,-648204
0.0764327,-657422
0.0760196,-689945
0.030296,819561
0.0266399,746578
0.0755661,-677223
0.0311976,837247
0.0305007,823419
0.0259693,731536
0.0602854,-1.00427e+06
0.0465975,1.16549e+06
0.0689951,-813282
0.0327151,862335
0.0822986,-487977
0.0291499,794630
0.0232022,661930
0.0682506,-834063
0.0270544,753887
0.0294125,799864
0.0251961,712386
0.0673433,-840259
0.0220174,642406
0.0794257,-614794
0.0790378,-607676
0.0767232,-663766
0.0760024,-675257
0.0233032,663131
0.0273985,759657
0.0446466,1.13127e+06
0.0219436,635907
0.0779459,-672720
0.0775398,-645138
0.0307404,826263
0.0326095,859046
0.0262247,734683
0.0779164,-651639
0.0246247,696108
0.069941,-782334
0.0219539,629905
0.0219236,650117
0.0238977,676872
0.0234931,666091
0.0222553,671979
0.0310046,830354
0.021755,627138
0.0270033,750152
0.0751373,-703746
0.0778065,-653797
0.0217633,625388
0.0279008,767058
0.0339336,876940
0.0826164,-443060
0.0784896,-622749
0.024464,690289
0.0799484,-533297
0.0708542,-780361
0.0747981,-700434
0.0332641,866810
0.0796027,-581729
0.0220084,625437
0.0767949,-672259
0.0230168,651059
0.0608787,-1.00156e+06
0.0787452,-635923
0.0222338,630219
0.0791097,-613556
0.0261975,731502
0.0217726,647686
