ts,time,num_ions,num_eles,KE_ions,KE_eles,I_ions, I_eles
0,0,400000,399981,0.00517286,0.17793,0,-0
100,1e-09,399999,399179,0.00517293,0.178635,0.00400544,3.21236
200,2e-09,399999,398354,0.00517302,0.180215,0,3.30449
300,3e-09,399998,397591,0.00517305,0.180486,0.00400544,3.05615
400,4e-09,399998,396905,0.00517299,0.178811,0,2.74773
500,5e-09,399998,396355,0.00517289,0.176663,0,2.20299
600,6e-09,399997,395904,0.00517286,0.176119,0.00400544,1.80645
700,7e-09,399997,395521,0.00517291,0.177488,0,1.53408
800,8e-09,399995,395221,0.00517299,0.179005,0.00801088,1.20163
900,9e-09,399993,395008,0.00517307,0.178848,0.00801088,0.853159
1000,1e-08,399993,394827,0.00517312,0.177185,0,0.724985
1100,1.1e-08,399992,394684,0.00517318,0.175934,0.00400544,0.572778
1200,1.2e-08,399991,394541,0.00517332,0.176557,0.00400544,0.572778
1300,1.3e-08,399991,394364,0.00517351,0.178324,0,0.708963
1400,1.4e-08,399991,394151,0.00517365,0.179156,0,0.853159
1500,1.5e-08,399988,393929,0.00517363,0.177944,0.0120163,0.889208
1600,1.6e-08,399986,393690,0.00517364,0.175823,0.00801088,0.9573
1700,1.7e-08,399985,393461,0.00517371,0.174915,0.00400544,0.917246
1800,1.8e-08,399985,393259,0.00517397,0.175916,0,0.809099
1900,1.9e-08,399983,393087,0.0051743,0.177383,0.00801088,0.688936
2000,2e-08,399983,392965,0.00517467,0.177438,0,0.488664
2100,2.1e-08,399981,392865,0.00517506,0.175855,0.00801088,0.400544
2200,2.2e-08,399978,392789,0.00517538,0.17439,0.0120163,0.304414
2300,2.3e-08,399978,392725,0.0051759,0.174695,0,0.256348
2400,2.4e-08,399977,392660,0.00517644,0.176456,0.00400544,0.260354
2500,2.5e-08,399976,392605,0.00517698,0.177683,0.00400544,0.220299
2600,2.6e-08,399975,392525,0.00517744,0.176985,0.00400544,0.320435
