ts,time,num_ions,num_eles,KE_ions,KE_eles,I_ions, I_eles, T_ions, T_eles
0,0,400000,399972,0.0499252,0.498435,0,0,0.0998505,0.99687
100,1e-09,399995,398611,0.049925,0.497444,0.0200272,5.45141,0.0998501,0.994888
200,2e-09,399991,397308,0.0499242,0.497162,0.0160218,5.21909,0.0998485,0.994324
300,3e-09,399988,396062,0.0499236,0.495836,0.0120163,4.99078,0.0998473,0.991672
400,4e-09,399984,395059,0.0499234,0.493155,0.0160218,4.01746,0.0998468,0.986311
500,5e-09,399980,394345,0.049923,0.490306,0.0160218,2.85989,0.0998459,0.980612
600,6e-09,399976,393831,0.0499228,0.488891,0.0160218,2.0588,0.0998456,0.977783
700,7e-09,399971,393398,0.049923,0.489227,0.0200272,1.73436,0.0998461,0.978455
800,8e-09,399970,393053,0.0499233,0.490087,0.00400544,1.38188,0.0998466,0.980174
900,9e-09,399969,392741,0.0499238,0.489989,0.00400544,1.2497,0.0998475,0.979977
1000,1e-08,399969,392419,0.0499244,0.488687,0,1.28975,0.0998487,0.977374
1100,1.1e-08,399966,392108,0.0499249,0.487392,0.0120163,1.24569,0.0998499,0.974784
1200,1.2e-08,399962,391815,0.0499255,0.487003,0.0160218,1.17359,0.099851,0.974005
1300,1.3e-08,399956,391470,0.0499265,0.486984,0.0240326,1.38188,0.0998531,0.973969
1400,1.4e-08,399955,391204,0.0499276,0.486337,0.00400544,1.06545,0.0998552,0.972675
1500,1.5e-08,399955,390919,0.0499288,0.484298,0,1.14155,0.0998576,0.968597
1600,1.6e-08,399951,390687,0.0499301,0.481885,0.0160218,0.929262,0.0998603,0.96377
1700,1.7e-08,399950,390447,0.0499319,0.480251,0.00400544,0.961306,0.0998638,0.960503
1800,1.8e-08,399947,390250,0.0499338,0.480092,0.0120163,0.789072,0.0998675,0.960184
1900,1.9e-08,399945,390045,0.0499359,0.480501,0.00801088,0.821115,0.0998717,0.961003
2000,2e-08,399944,389876,0.0499383,0.480207,0.00400544,0.67692,0.0998767,0.960413
2100,2.1e-08,399944,389731,0.0499413,0.478976,0,0.580789,0.0998826,0.957952
2200,2.2e-08,399942,389578,0.049944,0.477796,0.00801088,0.612833,0.099888,0.955591
2300,2.3e-08,399937,389431,0.0499472,0.477631,0.0200272,0.5888,0.0998944,0.955262
2400,2.4e-08,399929,389319,0.0499486,0.478297,0.0320435,0.448609,0.0998972,0.956593
2500,2.5e-08,399928,389189,0.0499524,0.478664,0.00400544,0.520707,0.0999047,0.957328
2600,2.6e-08,399922,389089,0.0499565,0.477894,0.0240326,0.400544,0.099913,0.955789
2700,2.7e-08,399922,388983,0.049961,0.476422,0,0.424577,0.099922,0.952845
2800,2.8e-08,399918,388848,0.0499653,0.475243,0.0160218,0.540735,0.0999307,0.950486
2900,2.9e-08,399913,388742,0.0499706,0.475054,0.0200272,0.424577,0.0999411,0.950108
3000,3e-08,399910,388626,0.0499758,0.475189,0.0120163,0.464631,0.0999515,0.950378
3100,3.1e-08,399904,388510,0.0499804,0.474672,0.0240326,0.464631,0.0999608,0.949344
3200,3.2e-08,399901,388423,0.0499866,0.473339,0.0120163,0.348473,0.0999733,0.946677
3300,3.3e-08,399900,388321,0.0499938,0.472048,0.00400544,0.408555,0.0999875,0.944097
3400,3.4e-08,399895,388234,0.0500006,0.471809,0.0200272,0.348473,0.100001,0.943618
3500,3.5e-08,399892,388148,0.0500086,0.472623,0.0120163,0.344468,0.100017,0.945247
3600,3.6e-08,399890,388095,0.0500168,0.47348,0.00801088,0.212288,0.100034,0.94696
3700,3.7e-08,399887,388035,0.0500245,0.473359,0.0120163,0.240326,0.100049,0.946717
3800,3.8e-08,399883,387978,0.0500326,0.472341,0.0160218,0.22831,0.100065,0.944682
3900,3.9e-08,399877,387906,0.0500407,0.471364,0.0240326,0.288392,0.100081,0.942729
4000,4e-08,399875,387852,0.0500502,0.471073,0.00801088,0.216294,0.1001,0.942145
4100,4.1e-08,399870,387765,0.05006,0.471162,0.0200272,0.348473,0.10012,0.942324
4200,4.2e-08,399865,387667,0.0500694,0.470689,0.0200272,0.392533,0.100139,0.941379
4300,4.3e-08,399862,387605,0.0500793,0.469413,0.0120163,0.248337,0.100159,0.938826
4400,4.4e-08,399858,387527,0.0500906,0.467998,0.0160218,0.312424,0.100181,0.935995
4500,4.5e-08,399854,387470,0.0501029,0.467434,0.0160218,0.22831,0.100206,0.934869
4600,4.6e-08,399851,387405,0.0501154,0.467965,0.0120163,0.260354,0.100231,0.935931
4700,4.7e-08,399846,387345,0.0501282,0.468875,0.0200272,0.240326,0.100256,0.93775
4800,4.8e-08,399844,387300,0.0501418,0.469159,0.00801088,0.180245,0.100284,0.938318
4900,4.9e-08,399841,387258,0.0501548,0.468637,0.0120163,0.168229,0.10031,0.937274
5000,5e-08,399839,387222,0.0501685,0.468002,0.00801088,0.144196,0.100337,0.936005
5100,5.1e-08,399832,387168,0.0501823,0.467832,0.0280381,0.216294,0.100365,0.935663
5200,5.2e-08,399831,387108,0.0501976,0.467982,0.00400544,0.240326,0.100395,0.935964
5300,5.3e-08,399828,387063,0.0502128,0.467582,0.0120163,0.180245,0.100426,0.935164
5400,5.4e-08,399824,387016,0.0502291,0.466281,0.0160218,0.188256,0.100458,0.932563
5500,5.5e-08,399822,386964,0.0502457,0.464745,0.00801088,0.208283,0.100491,0.929489
5600,5.6e-08,399814,386918,0.0502612,0.464063,0.0320435,0.18425,0.100522,0.928127
5700,5.7e-08,399811,386872,0.0502798,0.464575,0.0120163,0.18425,0.10056,0.92915
5800,5.8e-08,399810,386829,0.0502987,0.46554,0.00400544,0.172234,0.100597,0.931079
5900,5.9e-08,399809,386791,0.0503181,0.465992,0.00400544,0.152207,0.100636,0.931983
6000,6e-08,399808,386750,0.0503379,0.465654,0.00400544,0.164223,0.100676,0.931308
6100,6.1e-08,399805,386717,0.0503575,0.465115,0.0120163,0.13218,0.100715,0.93023
6200,6.2e-08,399803,386682,0.0503773,0.465018,0.00801088,0.14019,0.100755,0.930036
