x,v
0.0114513,-387478
0.078842,423544
0.011733,89192.2
0.019193,-9641.6
0.0347963,-194335
0.0896023,-81586.2
0.0600482,-29309.9
0.0583234,-176571
0.00762729,-417635
0.0385954,130029
0.038798,299848
0.0595441,90713.4
0.00580745,81216.8
0.0872712,-23525.1
0.0580698,-329327
0.0168667,-398936
0.0695515,-172183
0.0149685,241646
0.0102638,441798
0.0920246,435907
0.0907593,7487.51
0.0916846,49989.8
0.00747054,-458043
0.0600483,-123985
0.0724456,-348011
0.0858099,-285224
0.0608999,-317825
0.0233858,299884
0.0147769,-97962.1
0.0840466,-98222.6
0.0856363,37361.6
0.0208875,-270685
0.0623929,52553.3
0.0585727,103186
0.0502913,-96420.9
0.0400887,-60839.2
0.0300943,249142
0.0813468,153885
0.0195792,114634
0.0835004,-66812.8
0.0465709,69940.6
0.062149,-98788.5
0.0786019,-109233
0.0268791,-171794
0.0728237,99619.2
0.0136799,21564.6
0.0170423,-544219
0.0771241,39710.6
0.0255353,-60383.1
0.0606743,-236557
0.082867,94687.4
0.0775174,341863
0.01281,-164308
0.0159412,-20548
0.0846434,20904.1
0.0118301,-93978.2
0.0822595,-155325
0.0453179,62685.3
0.0285264,-503876
0.0776961,-330854
0.0643363,177784
0.0761985,54808.1
0.0729946,-210316
0.0699278,-151994
0.0779558,-135021
0.070917,153839
0.089385,-421420
0.0307261,135638
0.0250638,-187318
0.0369314,275557
0.0767918,-341180
0.0587115,104942
0.0336261,4743.7
0.0327931,328808
0.0179281,-551696
0.0401741,-276011
0.0172614,-224226
0.0489424,282413
0.029628,295183
0.0591498,-163704
0.0153706,-226494
0.0431043,-38546.5
0.0832049,280355
0.0142229,-3042.27
0.019639,190626
0.0337676,-123992
0.0923378,310271
0.0549229,-174340
0.0359813,-218945
0.0829622,229611
0.0354743,-93712.2
0.0564137,-21.9834
0.0141573,-432713
0.080589,-121403
0.0577921,179106
0.0854477,-137693
0.0318559,137528
0.0962242,326848
0.0123785,59421
0.0602263,-10511.8
0.0848111,-233856
0.0515646,-32435.7
0.0215283,48672
0.0825701,-293352
0.0727931,-77681.4
0.0295869,65328.9
0.0585354,123687
0.0797707,-344136
0.0429447,203495
0.0578769,-357136
0.0396034,-101298
0.0583627,120512
0.0297198,-16802.7
0.036321,183945
0.0928196,525167
0.0677084,145710
0.0640161,-490139
0.0409976,108646
0.0414729,-51484.7
0.00402718,-292676
0.0678983,8366.8
0.0459854,282690
0.0278747,-157014
0.0159638,-250764
0.0245044,-10786.5
0.0406004,221148
0.0759363,157850
0.093156,-43101
0.0578367,-436018
0.0358227,31019.2
0.017064,188670
0.0494892,66698.7
0.0678368,320461
0.0665509,182230
0.0103178,-70712.3
0.0170183,-5143.99
0.0713231,258982
0.0985361,359203
0.095033,351220
0.0191622,185586
0.0682453,229149
0.00269805,-246291
0.0952494,-357391
0.0203281,-184272
0.0316823,383848
0.0813657,-216358
0.0770627,368361
0.0153034,-121275
0.0372232,-144521
0.0503629,-32383.6
0.0376272,166416
0.0670925,43325.5
0.0456632,106956
0.0901213,309107
0.0812788,-18416.6
0.078706,-156933
0.0419837,98361.4
0.0646845,365183
0.0382371,-240987
0.064703,-95268.8
0.064056,-17236.3
0.047456,-107518
0.0541172,136208
0.0393767,-32567.7
0.0481922,-123304
0.0577253,-139945
0.0194164,20126.2
0.0279268,-120142
0.0858447,637.906
0.0415231,174930
0.0282421,117807
0.0444511,618069
0.0692493,-366305
0.0955824,347588
0.0213137,-459079
0.0773172,279224
0.0622905,-466986
0.0835119,-68078.6
0.0939059,112209
0.0272766,-332643
0.0317959,406022
0.0774799,25269
0.0660394,-183323
0.0802857,-163733
0.0465593,1068.45
0.0310846,-21802.5
0.0806614,-135013
0.0110149,79558.8
0.0498662,452303
0.0275868,-446374
0.0405218,-82710.7
0.019313,605468
0.0607283,-339873
0.0582002,210605
0.040536,-274615
0.0655061,329619
0.031016,-18126.3
0.0853803,-176504
0.0910822,-242584
0.0716721,183168
0.0481151,160087
0.0922233,147538
0.0871591,327752
0.0678271,-195035
0.082782,-277985
0.0190413,351347
0.0618269,-118932
0.0262252,-393657
0.0976986,-21771.8
0.077153,-33697.4
0.025443,358620
0.0505912,-45934.3
0.0547154,114259
0.0377163,-341235
0.0712931,348521
0.0272886,-217294
0.0928951,39873.8
0.0186198,-127862
0.037358,13723.3
0.071887,-341069
0.021893,202794
0.0476822,505883
0.074684,-169294
0.046045,-396851
0.0455927,376565
0.0291351,-205093
0.0235707,-100498
0.0865115,34908.1
0.0567203,176421
0.0763285,410717
0.0307084,-172356
0.00945219,-54495
0.0894839,-50655.1
0.0969065,20153.2
0.0544581,14073.9
0.0615272,145066
0.00585956,3936.65
0.0890001,-119823
0.0345063,70329.4
0.0758795,-133915
0.0529819,356423
0.00114784,-247401
0.0022975,134081
0.0975541,-112739
0.0654409,-273206
0.0425296,-241036
0.0537844,-168955
0.0954954,65317.6
0.0225722,7209.86
0.0943514,386401
0.0783603,282087
0.0791769,-147729
0.0881341,-197850
0.0113975,96820.6
0.0236659,40122.5
0.0224475,-29648.1
0.051137,-48479.2
0.0974383,470231
0.0757158,71768
0.0771382,228797
0.0495576,124662
0.0783841,10446.1
0.0217365,152879
0.0164645,285364
0.0173254,-57841.8
0.0479712,42026.8
0.072721,143113
0.0212285,26233.2
0.088621,-463158
0.0117746,170136
0.0825863,225758
0.0749538,-215734
0.0211463,407699
0.018822,-74821.6
0.0441741,83762.2
0.0782409,396148
0.044172,-90189.9
0.0215487,333255
0.0794061,-88446.9
0.0227946,169743
0.0724897,-201814
0.0576209,-279820
0.0456914,179203
0.096406,-157949
0.0623493,-2273.03
0.0214797,365937
0.0894627,169287
0.0937491,-68460.9
0.0320496,25787.3
0.0387976,138166
0.0971961,-147537
0.0920049,-485054
0.0324268,-66838.8
0.0947026,-468596
0.0762178,382214
0.0601967,-484560
0.0457874,298162
0.01374,-118339
0.0237482,-297745
0.0320187,-116960
0.0871758,-376288
0.0662294,-30592.9
0.0457138,274245
0.0369279,-48854.2
0.0286749,-347833
0.0710813,171407
0.0707981,-35027.8
0.0621013,-42206.7
0.0623544,-250660
0.0273561,119504
0.0869442,137917
0.0961274,276789
0.08247,113114
0.0485409,-37129.2
0.0809453,68591.6
0.040996,-37375.7
0.0722667,-265869
0.0420924,-78779.5
0.0642044,109422
0.0905074,-46771.6
0.0330437,35465.4
0.0700703,-252192
0.00270289,-167995
0.0470062,-176961
0.00511592,-34876.3
0.0158564,40592.3
0.00784331,-95731.7
0.00955451,226658
0.0368652,-3570.4
0.0194898,196129
0.0374956,12329.4
0.0967719,-148740
0.0527414,-674.844
0.0180361,47835.4
0.0635767,-294918
0.0505899,-60750.5
0.0278873,-428409
0.0578145,436172
0.0310472,141173
0.0367446,359797
0.00512309,96145.9
0.00378276,-19558.9
0.0062273,128931
0.0693624,-113937
0.087368,-60257
0.0796819,176448
0.0703413,125007
0.0340842,351630
0.0137292,-497992
0.0314902,179471
0.0875137,-374824
0.0579205,50648.6
0.0671017,-91635.2
0.0489344,412217
0.0378073,134347
0.00419474,-373874
0.0296089,25080.7
0.0776094,150087
0.0123762,178249
0.0182249,155549
0.0396481,340470
0.00294704,95856.3
0.0568597,149513
