x,v
0.0991562,752.318
0.0254742,-180.286
0.0982908,364.561
0.0327838,-229.112
0.0697852,-357.904
0.0940429,135.208
0.0492949,423.836
0.0789777,-304.739
0.0689115,512.028
0.0471056,356.888
0.0573134,-347.327
0.0518775,107.133
0.0649418,419.396
0.0867017,87.7759
0.0718529,426.372
0.086326,-200.384
0.010915,157.319
0.0274141,344.947
0.0237919,-97.3314
0.0762629,443.789
0.0491934,-474.03
0.0950045,-208.918
0.0343996,-395.092
0.0218606,-130.416
0.0811113,65.2098
0.0446154,-190.383
0.00655472,459.807
0.00760492,-389.808
0.0931898,378.537
0.0366007,432.381
0.0512874,-96.2938
0.0825654,-579.744
0.0222756,237.058
0.0443475,74.9345
0.0574609,198.941
0.0318988,78.4057
0.0929375,-242.858
0.0828768,98.1242
0.0268478,-89.2037
0.0496962,-281.788
0.0363676,-27.6364
0.092654,265.168
0.0621252,-165.962
0.0796957,-90.5415
0.0874045,2.28065
0.00951251,-40.8646
0.0656682,431.384
0.0562863,-0.108675
0.0767511,-14.1787
0.0673473,224.444
0.0839214,197.997
0.038851,-240.988
0.0740806,-154.019
0.0386475,168.713
0.0746684,-176.034
0.0100484,-59.8256
0.0519896,-235.833
0.0157466,27.2427
0.07635,-38.1085
0.0303833,91.6521
0.0276663,137.569
0.0541131,207.191
0.0135854,538.893
0.0971698,-11.1394
0.0219055,55.1056
0.0838148,-74.4377
0.0662689,-161.476
0.033076,556.755
0.0387426,159.469
0.0381575,581.908
0.0364702,-40.4457
0.023389,-103.592
0.0776687,-74.6848
0.0770501,222.534
0.0909079,226.113
0.0785533,66.739
0.0414803,131.981
0.0974292,-45.2245
0.00288023,9.91864
0.00798155,47.8823
0.0364834,-541.149
0.0022153,9.25555
0.0909198,11.9051
0.029425,245.77
0.0379877,22.6611
0.0391245,-249.465
0.0288619,163.964
0.05828,-58.0466
0.0514613,174.701
0.0128981,-537.725
0.0876415,107.09
0.0917837,95.1343
0.0985369,229.501
0.0863152,-22.8889
0.0038067,-312.466
0.0400407,-134.679
0.0501063,353.066
0.0579169,-136.226
0.00303094,25.8492
0.0420481,282.683
0.0215899,136.18
0.0312384,-244.065
0.00565205,-245.718
0.0568613,-28.2174
0.0912609,131.653
0.000260371,-426.165
0.0426145,-145.804
0.0284288,241.32
0.0671027,-112.464
0.0833503,-438.764
0.07541,0.403787
0.0156983,265.091
0.0914544,-280.9
0.0906295,-440.832
0.0836275,-71.4015
0.068876,544.034
0.0836179,-355.135
0.0455278,-40.7158
0.0158014,420.877
0.0917589,290.824
0.0820783,-269.978
0.0409847,-372.914
0.0378033,294.69
0.0499595,-274.231
0.0375148,492.021
0.00768875,-120.861
0.06388,-450.049
0.0542379,531.727
0.0995401,579.71
0.0307374,-414.225
0.0114148,-83.3034
0.0342015,-182.819
0.0866094,162.395
0.0605066,95.2816
0.00849519,-37.4512
0.0605369,-226.15
0.0911386,104.829
0.0579176,-238.578
0.040256,149.227
0.0990466,500.583
0.0786632,-108.7
0.0747883,175.601
0.0438301,273.866
0.00806573,-280.675
0.0739218,83.2293
0.0347304,-82.8486
3.9961e-05,-408.364
0.0105232,-39.7289
0.0439519,142.532
0.0182104,-201.101
0.0441913,137.74
0.049694,387.697
0.0664477,-268.125
0.0145505,-5.07997
0.0828674,39.7109
0.0935888,78.9711
0.0519589,-288.569
0.0575044,-346.156
0.0648279,-176.145
0.0464791,224.47
0.0820593,-168.002
0.0752995,192.789
0.0567211,109.099
0.0691208,-399.52
0.00222986,-310.338
0.0616311,326.135
0.0860465,180.378
0.0648313,-194.254
0.0977017,-72.2073
0.0334579,-70.0953
0.0104515,-192.926
0.0763172,212.9
0.0433588,221.338
0.0109717,-350.796
0.0487206,145.844
0.0215125,300.697
0.0996442,812.652
0.0582823,-181.736
0.0612071,265.78
0.078997,-30.986
0.0938375,-96.1741
0.0739417,-254.854
0.0605594,76.0465
0.0773428,517.706
0.0426353,-3.66789
0.0395933,50.207
0.0286205,-281.395
0.0402589,65.2851
0.00832108,-452.366
0.025988,260.897
0.076237,138.242
0.0917573,144.605
0.0311311,431.385
0.089357,151.923
0.073906,-492.174
0.0623377,138.319
0.000770559,30.5098
0.0801483,188.776
0.0428877,-409.813
0.0692727,414.137
0.00392007,101.334
0.0632563,271.776
0.097578,79.1924
0.0550528,-42.4231
0.0816589,-431.365
0.0449536,238.353
0.023396,194.926
0.0773974,358.607
0.0327137,-258.881
0.0664152,93.5965
0.0622183,180
0.032595,165.985
0.058322,7.98021
0.0795134,-162.684
0.0724661,367.615
0.051635,148.453
0.0650295,305.728
0.0916561,127.399
0.0246964,4.75349
0.00746307,175.608
0.00995381,469.263
0.0778444,-531.208
0.0225277,219.021
0.0529756,430.371
0.0585023,99.9557
0.00871909,-40.2824
0.0112744,569.899
0.0586665,-186.982
0.0181593,-127.04
0.0988898,770.859
0.0843749,206.94
0.0939408,-406.481
0.0689802,-34.6161
0.0392409,107.772
0.0305072,100.747
0.0629515,-206.433
0.0426949,363.099
0.063164,150.693
0.0585422,-50.3061
0.00631495,-114.392
0.0699505,-355.787
0.0587188,130.675
0.0641201,162.968
0.00397016,-201.666
0.0207215,127.037
0.0309615,-169.148
0.00924767,52.1892
0.0169045,217.769
0.0696642,-357.248
0.0187626,239.353
0.0981968,196.265
0.073777,309.154
0.021514,286.55
0.00284617,-57.7264
0.0925363,434.231
0.0276186,-233.46
0.0324615,-103.42
0.0354948,-259.092
0.0814138,-69.5551
0.0420953,178.691
0.0528174,90.7263
0.0537639,548.527
0.0964251,-201.014
0.09309,-317.865
0.0445898,-250.745
0.0209756,153.625
0.00395545,-14.6042
0.0886208,-189.656
0.0262524,1.50935
0.0719159,-104.092
0.0145279,152.59
0.0618264,225.255
0.098977,690.105
0.0330253,-399.765
0.0162356,306.001
0.0884035,-25.6975
0.0570506,-180.247
0.0183435,124.064
0.0711701,89.0878
0.0650295,-118.39
0.0984524,306.101
0.0805886,209.762
0.0733575,647.654
0.0376117,-470.777
0.0687717,42.6847
0.00923098,104.259
0.0114587,155.543
0.0364222,140.065
0.00482866,226.632
0.0125623,-188.013
0.0436004,182.413
0.0854353,-53.6805
0.0195692,373.822
0.0653016,62.0187
0.00339456,-212.655
0.0290535,118.386
0.0600675,-169.543
0.040638,50.0416
0.0414548,206.574
0.0583689,-258.588
0.00647068,103.498
0.0751895,2.34873
0.0991588,638.806
0.0263218,-281.375
0.0161161,-266.984
0.0355917,-460.372
0.0425403,48.3119
0.0286915,-288.844
0.0946937,-114.748
0.0720386,245.246
0.0827913,-251.477
0.0568771,317.084
0.0276131,-215.28
0.0860317,161.92
0.0293161,23.264
0.0438205,88.6748
0.0176608,-75.1121
0.0105142,340.088
0.0501897,252.943
0.0528194,-18.4241
0.0034105,99.3444
0.0733641,92.788
0.0144944,-96.2704
0.0379261,-433.303
0.0993852,571.352
0.0102254,-50.4447
0.0871594,-311.099
0.0653927,-209.08
0.0663185,-198.028
0.0148587,79.4287
0.0899296,122.525
0.0884762,-67.7935
0.00410947,-72.1159
0.0789214,-110.031
0.00919844,-188.343
0.0390262,-140.049
0.0735852,198.615
0.04218,11.5548
0.0659384,135.332
0.0388819,330.264
0.0289778,-318.018
0.0951662,-269.072
0.032669,660.049
0.0241948,4.83315
0.0952159,7.59517
0.00589966,-48.8116
0.000390701,-232.962
0.0893742,-212.921
0.0174617,-315.036
0.0235684,132.573
0.0506698,-84.1273
0.0769855,183.932
0.0791241,-69.8095
0.0325928,2.55086
0.0965783,-165.82
0.0290614,486.387
0.0926181,-12.2206
0.0246926,143.381
0.0387394,-40.5726
0.0425914,46.2236
0.0344161,-249.406
0.0174322,608.324
0.0569682,38.0433
0.0853886,-84.4889
0.0804443,-469.314
0.00388597,448.478
0.00345763,9.4508
0.0712228,285.426
0.0779223,323.807
0.0749339,56.6861
0.0502025,31.605
0.0396652,-19.3873
0.0904466,-288.936
0.0373977,168.501
0.0961247,164.209
0.0768047,314.97
0.085935,417.623
0.0367212,-297.074
0.0350072,-358.413
0.0610664,-283.64
0.0947395,61.4112
0.00866317,-113.047
0.00457581,259.355
0.0124327,-389.176
0.0910832,-327.675
0.0982059,678.798
0.0727547,314.694
0.0654703,312.688
0.0686158,239.805
0.00299767,129.885
0.0679596,619.456
0.0252392,112.639
0.0705687,-286.789
0.0415342,-109.92
0.092857,78.8288
0.0682636,-135.194
0.0557151,-121.499
0.0424859,-223.533
0.0162633,-42.5635
0.0304917,252.247
0.097665,372.752
0.0639127,-222.783
0.038472,89.7487
0.0819429,53.7799
0.0193528,42.0392
0.0352136,67.3201
0.0472075,338.017
0.058879,-170.845
0.0756776,72.4587
0.0402904,175.292
0.0833709,89.6136
0.0821085,132.65
0.0164205,172.731
0.0619678,315.499
0.016299,-436.887
0.0155287,-44.9501
0.024303,-42.3809
0.0884858,153.368
0.0486843,-319.857
0.0743157,-81.5727
0.022664,138.42
0.0642628,-130.502
0.0469294,-43.9134
0.0585637,-195.643
0.0190868,-330.728
0.0570222,-226.072
0.0870785,213.045
0.0430373,-222.999
0.0263841,235.855
0.0570212,111.556
0.091012,-10.7411
0.021122,464.92
0.0697726,-95.1145
0.0291767,-307.633
0.0879673,-49.6303
0.0760778,508.749
0.0416197,-14.9421
0.00895068,-514.587
0.0917912,150.866
0.0753275,-11.0649
0.0886518,-115.439
0.0399273,156.821
0.0558055,492.826
0.0415855,28.7093
0.00530095,345.383
0.0129635,49.4107
0.00646025,79.2866
0.0413498,218.773
0.00982688,245.896
0.0310887,103.998
0.0998463,1053.82
0.0175287,-169.48
0.03358,-340.662
0.073743,-119.822
0.0911094,45.7475
0.0726365,13.8618
0.025975,-68.3207
0.0235334,389.442
0.0623588,349.305
0.0447816,-218.057
0.0424384,132.318
0.0112196,-230.739
0.00582395,143.34
