ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,E_total
0,1e-07,1.73283,2800,280000,0,0,5.40363e-17,1.96252e-13,1.47336e-08,1.47338e-08
1,2e-07,1.82707,5600,560000,2.01665e-23,2.79142e-23,1.11997e-16,4.22044e-13,1.47336e-08,1.4734e-08
2,3e-07,1.96006,8400,840000,3.32772e-23,7.82459e-23,1.73881e-16,6.79446e-13,1.47336e-08,1.47343e-08
3,4e-07,2.11674,11200,1.12e+06,5.99776e-24,1.38508e-22,2.39687e-16,9.70506e-13,1.47336e-08,1.47345e-08
4,5e-07,2.30992,14000,1.4e+06,-2.56955e-23,1.6454e-22,3.09412e-16,1.29728e-12,1.47335e-08,1.47348e-08
5,6e-07,2.5146,16800,1.68e+06,-5.72048e-23,1.59704e-22,3.8306e-16,1.66186e-12,1.47335e-08,1.47351e-08
6,7e-07,2.73527,19600,1.96e+06,-4.89094e-23,1.44656e-22,4.6063e-16,2.0663e-12,1.47334e-08,1.47354e-08
7,8e-07,2.96541,22400,2.24e+06,-4.39599e-24,1.21581e-22,5.4212e-16,2.51267e-12,1.47333e-08,1.47358e-08
8,9e-07,3.21219,25200,2.52e+06,8.11318e-23,7.79733e-23,6.27531e-16,3.00303e-12,1.47332e-08,1.47362e-08
9,1e-06,3.49922,27999,2.7999e+06,2.10001e-22,2.88876e-23,7.16838e-16,3.53933e-12,1.47331e-08,1.47366e-08
10,1.1e-06,3.77306,30799,3.0799e+06,4.14783e-22,-2.40651e-23,8.10086e-16,4.12383e-12,1.4733e-08,1.47371e-08
11,1.2e-06,4.0584,33599,3.3599e+06,7.15332e-22,-9.8513e-23,9.07249e-16,4.75848e-12,1.47329e-08,1.47376e-08
12,1.3e-06,4.35252,36399,3.6399e+06,1.1216e-21,-1.76146e-22,1.00833e-15,5.44534e-12,1.47328e-08,1.47382e-08
13,1.4e-06,4.6665,39199,3.9199e+06,1.636e-21,-2.64324e-22,1.11332e-15,6.1865e-12,1.47327e-08,1.47389e-08
14,1.5e-06,4.98599,41998,4.1998e+06,2.35019e-21,-3.2911e-22,1.2222e-15,6.98374e-12,1.47326e-08,1.47396e-08
15,1.6e-06,5.31978,44797,4.4797e+06,3.1876e-21,-3.80883e-22,1.33499e-15,7.8394e-12,1.47326e-08,1.47404e-08
16,1.7e-06,5.65155,47597,4.7597e+06,4.16113e-21,-4.95721e-22,1.45173e-15,8.75575e-12,1.47326e-08,1.47413e-08
17,1.8e-06,5.98595,50397,5.0397e+06,5.27205e-21,-6.71966e-22,1.57239e-15,9.73463e-12,1.47325e-08,1.47422e-08
18,1.9e-06,6.32829,53197,5.3197e+06,6.59203e-21,-9.34164e-22,1.69696e-15,1.07781e-11,1.47325e-08,1.47432e-08
19,2e-06,6.68295,55996,5.5996e+06,7.90963e-21,-1.27334e-21,1.8254e-15,1.18878e-11,1.47324e-08,1.47443e-08
20,2.1e-06,7.05142,58794,5.8794e+06,9.39803e-21,-1.64378e-21,1.95771e-15,1.3066e-11,1.47324e-08,1.47454e-08
21,2.2e-06,7.49631,61594,6.1594e+06,1.11443e-20,-2.02375e-21,2.09402e-15,1.43154e-11,1.47323e-08,1.47466e-08
22,2.3e-06,7.89696,64394,6.4394e+06,1.30225e-20,-2.36338e-21,2.23423e-15,1.56377e-11,1.47323e-08,1.47479e-08
23,2.4e-06,8.31042,67194,6.7194e+06,1.50585e-20,-2.58423e-21,2.37836e-15,1.70349e-11,1.47322e-08,1.47492e-08
24,2.5e-06,8.72561,69992,6.9992e+06,1.72648e-20,-2.59897e-21,2.52631e-15,1.85084e-11,1.47321e-08,1.47507e-08
25,2.6e-06,9.18962,72787,7.2787e+06,1.95608e-20,-2.10937e-21,2.67803e-15,2.00595e-11,1.47321e-08,1.47521e-08
26,2.7e-06,9.65123,75586,7.5586e+06,2.19352e-20,-1.63517e-21,2.83382e-15,2.16928e-11,1.4732e-08,1.47537e-08
27,2.8e-06,10.0959,78384,7.8384e+06,2.46181e-20,-1.66802e-21,2.99347e-15,2.34088e-11,1.47319e-08,1.47553e-08
28,2.9e-06,10.5181,81182,8.1182e+06,2.77396e-20,-1.34646e-21,3.15703e-15,2.52099e-11,1.47319e-08,1.47571e-08
29,3e-06,10.9748,83980,8.398e+06,3.09738e-20,-5.34806e-22,3.3245e-15,2.70983e-11,1.47318e-08,1.47589e-08
30,3.1e-06,11.4301,86779,8.6779e+06,3.37037e-20,2.53929e-22,3.49591e-15,2.90762e-11,1.47317e-08,1.47608e-08
31,3.2e-06,11.8773,89579,8.9579e+06,3.69235e-20,1.02356e-21,3.67128e-15,3.1146e-11,1.47316e-08,1.47627e-08
32,3.3e-06,12.3089,92375,9.2375e+06,3.94638e-20,2.84256e-21,3.85033e-15,3.33067e-11,1.47315e-08,1.47648e-08
33,3.4e-06,12.78,95173,9.5173e+06,4.21886e-20,3.9021e-21,4.0334e-15,3.55642e-11,1.47314e-08,1.4767e-08
34,3.5e-06,13.2484,97968,9.7968e+06,4.55868e-20,4.67367e-21,4.22017e-15,3.79165e-11,1.47313e-08,1.47692e-08
35,3.6e-06,13.7857,100763,1.00763e+07,4.77456e-20,5.64142e-21,4.41086e-15,4.03689e-11,1.47312e-08,1.47716e-08
36,3.7e-06,14.2905,103558,1.03558e+07,5.01115e-20,7.20501e-21,4.60543e-15,4.29225e-11,1.47311e-08,1.4774e-08
37,3.8e-06,14.9182,106352,1.06352e+07,5.38835e-20,8.17958e-21,4.80386e-15,4.55796e-11,1.4731e-08,1.47766e-08
38,3.9e-06,15.3884,109146,1.09146e+07,5.83264e-20,9.9432e-21,5.00618e-15,4.83424e-11,1.47309e-08,1.47792e-08
39,4e-06,15.8415,111937,1.11937e+07,6.13554e-20,1.22721e-20,5.21218e-15,5.12101e-11,1.47307e-08,1.47819e-08
40,4.1e-06,16.3192,114730,1.1473e+07,6.33121e-20,1.17545e-20,5.42224e-15,5.41904e-11,1.47306e-08,1.47848e-08
41,4.2e-06,16.8879,117521,1.17521e+07,6.87875e-20,1.05953e-20,5.63597e-15,5.72794e-11,1.47305e-08,1.47878e-08
42,4.3e-06,17.4023,120308,1.20308e+07,7.36118e-20,1.09085e-20,5.85339e-15,6.04808e-11,1.47303e-08,1.47908e-08
43,4.4e-06,17.9053,123097,1.23097e+07,7.612e-20,9.27407e-21,6.0748e-15,6.37999e-11,1.47302e-08,1.4794e-08
44,4.5e-06,18.3951,125888,1.25888e+07,7.72674e-20,6.32325e-21,6.30022e-15,6.72396e-11,1.47301e-08,1.47973e-08
45,4.6e-06,18.8912,128682,1.28682e+07,7.94622e-20,5.454e-21,6.52978e-15,7.08045e-11,1.47299e-08,1.48007e-08
46,4.7e-06,19.3806,131469,1.31469e+07,8.33135e-20,5.39806e-21,6.76268e-15,7.44849e-11,1.47298e-08,1.48043e-08
47,4.8e-06,19.8375,134251,1.34251e+07,8.70119e-20,-1.95881e-22,6.9988e-15,7.82761e-11,1.47297e-08,1.4808e-08
48,4.9e-06,20.3178,137036,1.37036e+07,8.97537e-20,-8.22931e-21,7.23817e-15,8.21706e-11,1.47296e-08,1.48118e-08
49,5e-06,20.7894,139817,1.39817e+07,9.50638e-20,-2.12717e-20,7.47995e-15,8.61513e-11,1.47295e-08,1.48156e-08
50,5.1e-06,21.3223,142594,1.42594e+07,9.14126e-20,-4.0303e-20,7.72374e-15,9.02056e-11,1.47294e-08,1.48196e-08
51,5.2e-06,21.8773,145370,1.4537e+07,9.38113e-20,-7.5881e-20,7.96927e-15,9.43201e-11,1.47293e-08,1.48236e-08
52,5.3e-06,22.3769,148148,1.48148e+07,7.94108e-20,-1.06686e-19,8.21625e-15,9.84825e-11,1.47292e-08,1.48277e-08
53,5.4e-06,22.8568,150917,1.50917e+07,6.34518e-20,-1.55514e-19,8.46377e-15,1.02678e-10,1.47291e-08,1.48318e-08
