ts,time,wall_time,mp_count.X,real_count.X,px.X,py.X,pz.X,KE.X,mp_count.X+,real_count.X+,px.X+,py.X+,pz.X+,KE.X+,PE,E_total
0,2e-07,0.0585776,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
1,4e-07,0.820636,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
2,6e-07,0.82518,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
3,8e-07,0.831127,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
4,1e-06,0.836364,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
5,1.2e-06,0.841256,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
6,1.4e-06,0.846053,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
7,1.6e-06,0.850829,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
8,1.8e-06,0.85536,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
9,2e-06,0.859536,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
10,2.2e-06,0.864132,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
11,2.4e-06,0.868334,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
12,2.6e-06,0.872699,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
13,2.8e-06,0.877083,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
14,3e-06,0.881504,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
15,3.2e-06,0.885927,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
16,3.4e-06,0.89073,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
17,3.6e-06,0.895308,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
18,3.8e-06,0.899624,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
19,4e-06,0.90428,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
20,4.2e-06,0.90858,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
21,4.4e-06,0.913321,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
22,4.6e-06,0.917602,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
23,4.8e-06,0.922155,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
24,5e-06,0.926547,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
25,5.2e-06,0.931227,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
26,5.4e-06,0.935357,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
27,5.6e-06,0.940184,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
28,5.8e-06,0.944626,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
29,6e-06,0.949393,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
30,6.2e-06,0.953599,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
31,6.4e-06,0.958059,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
32,6.6e-06,0.96261,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
33,6.8e-06,0.966971,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
34,7e-06,0.971184,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
35,7.2e-06,0.975343,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
36,7.4e-06,0.979985,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
37,7.6e-06,0.984388,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
38,7.8e-06,0.988858,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
39,8e-06,0.993365,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
40,8.2e-06,0.997964,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
41,8.4e-06,1.00247,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
42,8.6e-06,1.0067,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
43,8.8e-06,1.01105,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
44,9e-06,1.01519,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
45,9.2e-06,1.01932,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
46,9.4e-06,1.02377,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
47,9.6e-06,1.02851,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
48,9.8e-06,1.03283,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
49,1e-05,1.03733,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
50,1.02e-05,1.04123,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
51,1.04e-05,1.79955,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
52,1.06e-05,1.80252,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
53,1.08e-05,1.80537,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
54,1.1e-05,1.80992,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
55,1.12e-05,1.81406,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
56,1.14e-05,1.81734,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
57,1.16e-05,1.82145,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
